Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Jul 30 13:00:04 2018,25548780,4,10000,199,199,199,199,199,199,0,0,305,305,305,0,5 ~ 37644,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0 ~ 1,581 K 303 B,387 K 232 B
Mon Jul 30 13:00:05 2018,25548780,5,30000,599,599,599,599,599,599,0,0,305,294,325,0,5 ~ 37644,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0 ~ 1,581 K 303 B,387 K 232 B
Mon Jul 30 13:01:00 2018,25548781,0,40000,799,799,799,799,799,799,0,0,307,294,327,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:01:01 2018,25548781,1,50000,999,999,999,999,999,999,0,0,318,311,331,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:01:02 2018,25548781,2,60000,1199,1199,1199,1199,1199,1199,0,0,308,298,331,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:01:03 2018,25548781,3,80000,1598,1598,1598,1598,1598,1598,0,0,302,258,334,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:01:04 2018,25548781,4,90000,1798,1798,1798,1798,1798,1798,0,0,403,255,1214,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:01:05 2018,25548781,5,100000,1998,1998,1998,1998,1998,1998,0,0,311,256,335,191,40006 ~ 110006,0.080000 ~ 0.470000,0.020000 ~ 0.117500,0 ~ 1,916 K 200 B,562 K 915 B
Mon Jul 30 13:02:00 2018,25548782,0,110000,2198,2198,2198,2198,2198,2198,0,0,312,268,348,1500,110006 ~ 190006,0.340000 ~ 0.560000,0.085000 ~ 0.140000,0,1 M 356 K 389 B,774 K 115 B
Mon Jul 30 13:02:01 2018,25548782,1,130000,2597,2597,2597,2597,2597,2597,0,0,316,282,344,1500,110006 ~ 190006,0.340000 ~ 0.560000,0.085000 ~ 0.140000,0,1 M 356 K 389 B,774 K 115 B
