Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Sun Jul 29 06:52:00 2018,25546972,0,10000,797,797,797,797,797,797,0,0,315,315,315,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:52:01 2018,25546972,1,20000,1595,1595,1595,1595,1595,1595,0,0,308,298,318,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:52:02 2018,25546972,2,30000,2391,2391,2391,2391,2391,2391,0,0,320,311,331,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:52:03 2018,25546972,3,50000,3985,3985,3985,3985,3985,3985,0,0,336,325,348,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:52:04 2018,25546972,4,60000,4779,4779,4779,4779,4779,4779,0,0,343,334,357,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:52:05 2018,25546972,5,70000,5581,5581,5581,5581,5581,5581,0,0,342,308,369,45,10005 ~ 84511,0.020000 ~ 0.630000,0.005000 ~ 0.157500,0,1 M 794 K 134 B,901 K 51 B
Sun Jul 29 06:53:00 2018,25546973,0,90000,7174,7174,7174,7174,7174,7174,0,0,337,267,360,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:53:01 2018,25546973,1,100000,7969,7969,7969,7969,7969,7969,0,0,330,298,354,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:53:02 2018,25546973,2,120000,9566,9566,9566,9566,9566,9566,0,0,331,289,355,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:53:03 2018,25546973,3,140000,11162,11162,11162,11162,11162,11162,0,0,334,285,382,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:53:04 2018,25546973,4,150000,11952,11952,11952,11952,11952,11952,0,0,327,289,361,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:53:05 2018,25546973,5,170000,13552,13552,13552,13552,13552,13552,0,0,346,309,381,3708,90005 ~ 183732,0.580000 ~ 1.000000,0.145000 ~ 0.250000,0,3 M 738 K 58 B,1 M 750 K 333 B
Sun Jul 29 06:54:00 2018,25546974,0,190000,15137,15137,15137,15137,15137,15137,0,0,407,323,643,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:54:01 2018,25546974,1,200000,15934,15934,15934,15934,15934,15934,0,0,364,317,413,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:54:02 2018,25546974,2,220000,17534,17534,17534,17534,17534,17534,0,0,362,328,396,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:54:03 2018,25546974,3,240000,19135,19135,19135,19135,19135,19135,0,0,345,296,373,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:54:04 2018,25546974,4,250000,19917,19917,19917,19917,19917,19917,0,0,367,334,396,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:54:05 2018,25546974,5,270000,21501,21501,21501,21501,21501,21501,0,0,479,356,616,10926,190005 ~ 281720,0.660000 ~ 1.210000,0.165000 ~ 0.302500,0,5 M 555 K 36 B,2 M 485 K 894 B
Sun Jul 29 06:55:00 2018,25546975,0,280000,22272,22272,22272,22272,22272,22272,0,0,615,559,693,18800,286560 ~ 319641,1.080000 ~ 2.320000,0.270000 ~ 0.580000,0 ~ 8,5 M 941 K 819 B,2 M 511 K 924 B
Sun Jul 29 06:55:01 2018,25546975,1,290000,23047,23047,23047,23047,23047,23047,0,0,686,640,756,18800,286560 ~ 319641,1.080000 ~ 2.320000,0.270000 ~ 0.580000,0 ~ 8,5 M 941 K 819 B,2 M 511 K 924 B
Sun Jul 29 06:55:02 2018,25546975,2,300000,23761,23761,23761,23761,23761,23761,0,0,1132,814,1492,18800,286560 ~ 319641,1.080000 ~ 2.320000,0.270000 ~ 0.580000,0 ~ 8,5 M 941 K 819 B,2 M 511 K 924 B
Sun Jul 29 06:55:05 2018,25546975,5,310000,24323,24128,24539,24323,24128,24539,0,0,2330,1075,3604,18800,286560 ~ 319641,1.080000 ~ 2.320000,0.270000 ~ 0.580000,0 ~ 8,5 M 941 K 819 B,2 M 511 K 924 B
Sun Jul 29 06:56:00 2018,25546976,0,310000,24126,24126,24126,24126,24126,24126,0,0,3385,3152,3623,24204,319896 ~ 324034,2.210000 ~ 2.500000,0.552500 ~ 0.625000,4 ~ 8,5 M 974 K 504 B,2 M 484 K 815 B
Sun Jul 29 06:56:05 2018,25546976,5,320000,24773,24665,24895,24773,24665,24895,0,0,4058,3155,4846,24204,319896 ~ 324034,2.210000 ~ 2.500000,0.552500 ~ 0.625000,4 ~ 8,5 M 974 K 504 B,2 M 484 K 815 B
Sun Jul 29 06:57:05 2018,25546977,5,320000,24567,24502,24639,24567,24502,24639,0,0,5132,4329,6053,24867,324259 ~ 326432,1.940000 ~ 2.330000,0.485000 ~ 0.582500,4 ~ 8,5 M 971 K 289 B,2 M 495 K 210 B
Sun Jul 29 06:58:05 2018,25546978,5,320000,24444,24397,24497,24444,24397,24497,0,0,5797,4993,6808,24974,326452 ~ 327963,1.550000 ~ 1.960000,0.387500 ~ 0.490000,3 ~ 8,5 M 986 K 501 B,2 M 508 K 167 B
Sun Jul 29 06:59:05 2018,25546979,5,320000,24302,24248,24364,24302,24248,24364,0,0,6550,5626,9182,24980,328008 ~ 329913,1.200000 ~ 2.320000,0.300000 ~ 0.580000,1 ~ 8,5 M 982 K 214 B,2 M 514 K 887 B
Sun Jul 29 07:00:00 2018,25546980,0,320000,24228,24228,24228,24228,24228,24228,0,0,6958,6304,7736,24975,329971 ~ 331088,1.870000 ~ 2.320000,0.467500 ~ 0.580000,7 ~ 10,5 M 985 K 395 B,2 M 520 K 767 B
Sun Jul 29 07:00:05 2018,25546980,5,330000,24952,24921,25003,24952,24921,25003,0,0,7138,6419,8097,24975,329971 ~ 331088,1.870000 ~ 2.320000,0.467500 ~ 0.580000,7 ~ 10,5 M 985 K 395 B,2 M 520 K 767 B
Sun Jul 29 07:01:05 2018,25546981,5,330000,24846,24799,24888,24846,24799,24888,0,0,7699,6672,8841,24926,331133 ~ 332627,1.870000 ~ 2.850000,0.467500 ~ 0.712500,2 ~ 9,6 M 578 K 288 B,2 M 781 K 265 B
Sun Jul 29 07:02:05 2018,25546982,5,330000,24755,24720,24788,24755,24720,24788,0,0,8188,6718,9741,24990,332647 ~ 333742,2.450000 ~ 2.820000,0.612500 ~ 0.705000,1 ~ 315,5 M 994 K 576 B,2 M 535 K 299 B
Sun Jul 29 07:03:05 2018,25546983,5,330000,24672,24641,24698,24672,24641,24698,0,0,8634,7513,9993,25001,333773 ~ 334881,2.550000 ~ 2.840000,0.637500 ~ 0.710000,6 ~ 9,5 M 982 K 247 B,2 M 537 K 632 B
Sun Jul 29 07:04:05 2018,25546984,5,330000,24584,24565,24606,24584,24565,24606,0,0,9116,7972,10296,25002,334897 ~ 335914,2.590000 ~ 2.980000,0.647500 ~ 0.745000,6 ~ 8,6 M 571 K 888 B,2 M 801 K 364 B
Sun Jul 29 07:05:05 2018,25546985,5,330000,24524,24500,24548,24524,24500,24548,0,0,9449,8218,11503,24998,335929 ~ 336809,2.010000 ~ 2.770000,0.502500 ~ 0.692500,6 ~ 7,5 M 982 K 294 B,2 M 546 K 970 B
Sun Jul 29 07:06:05 2018,25546986,5,330000,24454,24434,24475,24454,24434,24475,0,0,9821,8486,11221,24928,336829 ~ 337608,1.540000 ~ 2.010000,0.385000 ~ 0.502500,6 ~ 9,6 M 565 K 448 B,2 M 799 K 999 B
Sun Jul 29 07:07:05 2018,25546987,5,330000,24388,24369,24413,24388,24369,24413,0,0,10195,8791,11765,25011,337639 ~ 338537,1.850000 ~ 2.220000,0.462500 ~ 0.555000,3 ~ 9,6 M 557 K 158 B,2 M 806 K 814 B
Sun Jul 29 07:08:05 2018,25546988,5,330000,24322,24289,24348,24322,24289,24348,0,0,10565,9210,12450,25015,338614 ~ 339532,1.860000 ~ 2.260000,0.465000 ~ 0.565000,3 ~ 111,6 M 591 K 763 B,2 M 821 K 368 B
Sun Jul 29 07:09:03 2018,25546989,3,330000,24272,24253,24299,24272,24253,24299,0,0,10838,9251,12376,24908,339607 ~ 340417,1.880000 ~ 2.200000,0.470000 ~ 0.550000,8 ~ 10,6 M 579 K 218 B,2 M 825 K 996 B
Sun Jul 29 07:09:05 2018,25546989,5,340000,24970,24964,24976,24970,24964,24976,0,0,11040,9775,12269,24908,339607 ~ 340417,1.880000 ~ 2.200000,0.470000 ~ 0.550000,8 ~ 10,6 M 579 K 218 B,2 M 825 K 996 B
