Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Jul 16 06:09:19 2018,25528689,19,100,46962,46920,46973,46965,46946,46974,0,0,364,357,389,0,6 ~ 107,0.000000,0.000000,0,9 M 464 K 935 B,4 M 631 K 586 B
Mon Jul 16 06:10:19 2018,25528690,19,100,46963,46952,46977,46963,46953,46978,0,0,375,357,400,20584,107,0.000000 ~ 0.120000,0.000000 ~ 0.015000,0,9 M 464 K 331 B,4 M 630 K 923 B
Mon Jul 16 06:11:19 2018,25528691,19,100,46965,46952,46979,46965,46952,46977,0,0,399,398,401,46998,107,0.100000 ~ 0.220000,0.012500 ~ 0.027500,0,9 M 465 K 193 B,4 M 631 K 608 B
Mon Jul 16 06:12:19 2018,25528692,19,100,46963,46953,46973,46964,46954,46973,0,0,399,397,400,46996,107,0.210000 ~ 0.340000,0.026250 ~ 0.042500,0,9 M 464 K 785 B,4 M 631 K 203 B
Mon Jul 16 06:13:19 2018,25528693,19,100,46963,46954,46971,46963,46956,46971,0,0,420,417,437,46988,107,0.190000 ~ 0.340000,0.023750 ~ 0.042500,0,9 M 463 K 503 B,4 M 631 K 482 B
Mon Jul 16 06:14:12 2018,25528694,12,100,46962,46953,46973,46962,46934,46976,0,0,434,419,471,46840,107 ~ 207,0.230000 ~ 0.870000,0.028750 ~ 0.108750,0,18 M 926 K 88 B,9 M 235 K 755 B
Mon Jul 16 06:14:19 2018,25528694,19,200,93916,93860,93939,93913,93849,93942,0,0,846,500,1071,46840,107 ~ 207,0.230000 ~ 0.870000,0.028750 ~ 0.108750,0,18 M 926 K 88 B,9 M 235 K 755 B
Mon Jul 16 06:15:19 2018,25528695,19,200,93958,93925,93978,93956,93919,93979,0,0,1744,1156,2240,64335,207,0.910000 ~ 1.830000,0.113750 ~ 0.228750,0,18 M 934 K 224 B,9 M 239 K 499 B
Mon Jul 16 06:16:19 2018,25528696,19,200,93977,93960,93994,93977,93960,93993,0,0,2294,2215,2357,94137,207,1.560000 ~ 1.820000,0.195000 ~ 0.227500,0,18 M 938 K 723 B,9 M 241 K 405 B
Mon Jul 16 06:17:19 2018,25528697,19,200,93969,93902,93986,93969,93898,93986,0,0,2304,2287,2326,93959,207,1.430000 ~ 2.000000,0.178750 ~ 0.250000,0,18 M 939 K 597 B,9 M 241 K 896 B
Mon Jul 16 06:18:19 2018,25528698,19,200,93977,93960,93992,93977,93959,93995,0,0,2308,2287,2358,93926,207,1.690000 ~ 2.040000,0.211250 ~ 0.255000,0,18 M 952 K 611 B,9 M 248 K 225 B
Mon Jul 16 06:19:13 2018,25528699,13,200,93975,93962,93990,93975,93960,93992,0,0,2307,2306,2311,93885,207 ~ 307,1.380000 ~ 1.680000,0.172500 ~ 0.210000,0,28 M 399 KB,13 M 883 K 753 B
Mon Jul 16 06:19:19 2018,25528699,19,300,140977,140945,140997,140975,140936,140999,0,0,2350,2297,2367,93885,207 ~ 307,1.380000 ~ 1.680000,0.172500 ~ 0.210000,0,28 M 399 KB,13 M 883 K 753 B
Mon Jul 16 06:20:19 2018,25528700,19,300,140995,140947,141017,140995,140952,141012,0,0,2350,2332,2378,108210,307,2.020000 ~ 2.760000,0.252500 ~ 0.345000,0,28 M 387 K 962 B,13 M 873 K 1016 B
Mon Jul 16 06:21:19 2018,25528701,19,300,140987,140869,141005,140987,140871,141008,0,0,2349,2335,2392,141005,307,2.600000 ~ 5.070000,0.325000 ~ 0.633750,0,28 M 387 K 362 B,13 M 874 K 467 B
Mon Jul 16 06:22:19 2018,25528702,19,300,141001,140964,141033,141001,140963,141031,0,0,2352,2335,2412,140917,307,3.650000 ~ 4.830000,0.456250 ~ 0.603750,0,28 M 391 K 413 B,13 M 876 K 655 B
Mon Jul 16 06:23:19 2018,25528703,19,300,141000,140987,141024,141000,140985,141020,0,0,2350,2333,2389,140895,307,3.180000 ~ 3.600000,0.397500 ~ 0.450000,0 ~ 1,28 M 392 K 16 B,13 M 877 K 338 B
Mon Jul 16 06:24:15 2018,25528704,15,300,140995,140979,141012,140995,140974,141013,0,0,2354,2337,2430,141381,307 ~ 407,3.590000 ~ 5.370000,0.448750 ~ 0.671250,0 ~ 1,37 M 853 K 727 B,18 M 478 K 955 B
Mon Jul 16 06:24:19 2018,25528704,19,400,187942,187911,187970,187933,187872,187992,0,0,2472,2449,2491,141381,307 ~ 407,3.590000 ~ 5.370000,0.448750 ~ 0.671250,0 ~ 1,37 M 853 K 727 B,18 M 478 K 955 B
Mon Jul 16 06:25:19 2018,25528705,19,400,187948,187922,187972,187949,187918,187975,0,0,2492,2458,2548,151589,407,4.940000 ~ 6.390000,0.617500 ~ 0.798750,0 ~ 1,37 M 838 K 965 B,18 M 471 K 148 B
