Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Jul 13 10:15:19 2018,25524615,19,1000,49634,49181,49679,49635,49187,49680,0,0,314,294,370,130251,5 ~ 1006,0.010000 ~ 0.540000,0.002500 ~ 0.135000,0,9 M 1023 K 223 B,4 M 903 K 599 B
Fri Jul 13 10:16:19 2018,25524616,19,1000,49672,49661,49677,49672,49660,49678,0,0,334,330,363,33231,1006,0.540000 ~ 1.350000,0.135000 ~ 0.337500,0,9 M 1021 K 611 B,4 M 901 K 810 B
Fri Jul 13 10:17:19 2018,25524617,19,1000,49672,49665,49677,49672,49663,49678,0,0,381,332,415,49642,1006,1.200000 ~ 1.520000,0.300000 ~ 0.380000,0,9 M 1020 K 897 B,4 M 901 K 810 B
Fri Jul 13 10:18:19 2018,25524618,19,1000,49672,49667,49675,49672,49669,49677,0,0,452,447,456,49621,1006,0.730000 ~ 1.220000,0.182500 ~ 0.305000,0,9 M 1021 K 611 B,4 M 902 K 147 B
Fri Jul 13 10:19:19 2018,25524619,19,1000,49674,49667,49679,49674,49669,49679,0,0,446,442,463,49645,1006,0.810000 ~ 1.300000,0.202500 ~ 0.325000,0,9 M 1023 K 40 B,4 M 902 K 450 B
Fri Jul 13 10:20:08 2018,25524620,8,1000,49674,49669,49678,49526,48348,49680,0,0,2616,442,20470,49782,1006 ~ 2006,0.810000 ~ 2.560000,0.202500 ~ 0.640000,0 ~ 2,18 M 873 K 66 B,8 M 656 K 427 B
Fri Jul 13 10:20:19 2018,25524620,19,2000,97523,87290,99374,97048,85611,99604,0,0,137864,75656,183240,49782,1006 ~ 2006,0.810000 ~ 2.560000,0.202500 ~ 0.640000,0 ~ 2,18 M 873 K 66 B,8 M 656 K 427 B
Fri Jul 13 10:21:19 2018,25524621,19,2000,99363,99339,99376,99384,97994,101058,0,0,202509,123373,785622,78193,2006,2.480000 ~ 3.410000,0.620000 ~ 0.852500,0 ~ 6,18 M 806 K 798 B,8 M 595 K 491 B
Fri Jul 13 10:22:19 2018,25524622,19,2000,99364,99355,99377,99340,97982,101300,0,0,195673,134221,700787,99456,2006,3.200000 ~ 4.160000,0.800000 ~ 1.040000,0 ~ 6,18 M 909 K 441 B,8 M 590 K 563 B
Fri Jul 13 10:23:19 2018,25524623,19,2000,99362,99343,99372,99431,97974,100702,0,0,194649,135044,664400,99554,2006,3.580000 ~ 4.300000,0.895000 ~ 1.075000,1 ~ 4,18 M 946 K 546 B,8 M 648 K 759 B
Fri Jul 13 10:24:19 2018,25524624,19,2000,99362,99351,99378,99243,98123,100237,0,0,214372,122216,681751,99273,2006,3.140000 ~ 3.890000,0.785000 ~ 0.972500,0 ~ 1,18 M 907 K 948 B,8 M 627 K 470 B
Fri Jul 13 10:25:09 2018,25524625,9,2000,99360,99347,99372,99288,98448,101261,0,0,241588,132951,1298173,99178,2006 ~ 3006,3.050000 ~ 4.450000,0.762500 ~ 1.112500,0 ~ 103,28 M 179 K 1017 B,11 M 588 K 156 B
Fri Jul 13 10:25:19 2018,25524625,19,3000,148242,141069,149049,147307,133782,149532,0,121,307436,236220,411688,99178,2006 ~ 3006,3.050000 ~ 4.450000,0.762500 ~ 1.112500,0 ~ 103,28 M 179 K 1017 B,11 M 588 K 156 B
Fri Jul 13 10:26:19 2018,25524626,19,3000,149039,149029,149053,149187,147365,152033,0,0,372523,268685,2291166,124817,3006,4.300000 ~ 5.010000,1.075000 ~ 1.252500,0 ~ 8,35 M 838 K 199 B,14 M 714 K 827 B
Fri Jul 13 10:27:19 2018,25524627,19,3000,149038,149023,149053,148953,147642,150548,0,0,332414,263177,835102,149263,3006,4.190000 ~ 5.130000,1.047500 ~ 1.282500,0 ~ 8,26 M 84 K 401 B,10 M 684 K 174 B
Fri Jul 13 10:28:19 2018,25524628,19,3000,149039,149023,149049,149053,147601,150610,0,0,317362,270977,410738,148859,3006,4.590000 ~ 5.420000,1.147500 ~ 1.355000,0 ~ 7,26 M 202 K 504 B,10 M 718 K 358 B
Fri Jul 13 10:29:19 2018,25524629,19,3000,149042,149018,149053,149074,146810,150517,0,0,318966,274418,775518,149280,3006,4.320000 ~ 4.870000,1.080000 ~ 1.217500,0 ~ 6,27 M 1004 K 831 B,11 M 500 K 572 B
Fri Jul 13 10:30:10 2018,25524630,10,3000,149039,149025,149047,148919,147411,150705,0,0,320712,264448,492667,148960,3006 ~ 3966,4.900000 ~ 6.200000,1.225000 ~ 1.550000,0 ~ 7,32 M 686 K 533 B,12 M 531 K 429 B
Fri Jul 13 10:30:19 2018,25524630,19,4000,191243,178263,196721,188261,165745,197683,0,0,559634,272269,1223557,148960,3006 ~ 3966,4.900000 ~ 6.200000,1.225000 ~ 1.550000,0 ~ 7,32 M 686 K 533 B,12 M 531 K 429 B
Fri Jul 13 10:31:19 2018,25524631,19,4000,198566,196712,198731,198711,194882,201481,1,8898,583711,338777,1395086,167725,3966 ~ 4006,5.620000 ~ 5.960000,1.405000 ~ 1.490000,3 ~ 112,33 M 64 K 727 B,12 M 913 K 946 B
Fri Jul 13 10:32:19 2018,25524632,19,4000,198709,198691,198728,198599,196602,200251,0,5981,544711,322789,1583731,199317,4006,5.590000 ~ 6.040000,1.397500 ~ 1.510000,1 ~ 115,32 M 791 K 851 B,12 M 827 K 460 B
Fri Jul 13 10:33:19 2018,25524633,19,4000,198708,198677,198728,198401,196666,200417,0,5918,539812,290225,1376873,198470,4006,5.680000 ~ 6.520000,1.420000 ~ 1.630000,4 ~ 10,32 M 532 K 97 B,12 M 801 K 254 B
Fri Jul 13 10:34:19 2018,25524634,19,4000,198700,198654,198722,197894,195725,199669,3,26992,598186,271494,2034577,198650,4005 ~ 4007,5.980000 ~ 6.480000,1.495000 ~ 1.620000,5 ~ 7,35 M 802 K 384 B,14 M 26 K 454 B
