Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 23:56:19 2018,25715036,19,1000,47523,41126,49679,47438,41045,49677,0,0,20577,5852,43738,0,5 ~ 1006,0.000000,0.000000,0,9 M 539 K 848 B,5 M 73 K 557 B
Thu Nov 22 23:57:19 2018,25715037,19,1000,49659,49577,49678,49659,48797,50476,0,0,28118,19602,67918,11432,1006,0.000000 ~ 0.420000,0.000000 ~ 0.052500,0,9 M 702 K 255 B,5 M 117 K 617 B
Thu Nov 22 23:58:19 2018,25715038,19,1000,49661,49621,49678,49662,48704,50524,0,0,26773,19469,56125,49618,1006,0.230000 ~ 0.380000,0.028750 ~ 0.047500,0,9 M 539 K 99 B,5 M 76 K 743 B
Thu Nov 22 23:59:19 2018,25715039,19,1000,49665,49631,49678,49666,49108,50169,0,0,25376,19412,56457,49803,1006,0.260000 ~ 1.120000,0.032500 ~ 0.140000,0,9 M 625 K 962 B,5 M 102 K 752 B
Fri Nov 23 00:00:19 2018,25715040,19,1000,49658,49600,49677,49658,48225,50765,0,0,30589,19356,72558,49655,1006,0.430000 ~ 0.720000,0.053750 ~ 0.090000,0,9 M 537 K 82 B,5 M 72 K 183 B
Fri Nov 23 00:01:17 2018,25715041,17,1000,49657,49615,49679,49645,48280,51061,0,0,30222,17858,53467,49584,1006 ~ 2006,0.290000 ~ 0.620000,0.036250 ~ 0.077500,0,19 M 56 K 562 B,10 M 144 K 148 B
Fri Nov 23 00:01:19 2018,25715041,19,2000,95002,90669,99336,95086,90853,99320,0,0,12605,3728,20950,49584,1006 ~ 2006,0.290000 ~ 0.620000,0.036250 ~ 0.077500,0,19 M 56 K 562 B,10 M 144 K 148 B
Fri Nov 23 00:02:19 2018,25715042,19,2000,99336,99291,99349,99335,98207,100467,0,0,14013,3633,49375,57662,2006,0.770000 ~ 1.980000,0.096250 ~ 0.247500,0 ~ 1,19 M 242 K 420 B,10 M 199 K 110 B
Fri Nov 23 00:03:19 2018,25715043,19,2000,99337,99304,99353,99339,98521,100146,0,0,13536,3656,51053,99319,2006,1.840000 ~ 3.060000,0.230000 ~ 0.382500,0,19 M 48 K 637 B,10 M 142 K 962 B
Fri Nov 23 00:04:19 2018,25715044,19,2000,99334,99291,99351,99254,97745,100391,0,0,15371,3644,57234,99529,2006,2.850000 ~ 3.400000,0.356250 ~ 0.425000,0 ~ 4,19 M 270 K 87 B,10 M 208 K 950 B
Fri Nov 23 00:05:19 2018,25715045,19,2000,99325,99279,99355,99404,98062,100850,0,0,17366,3671,59739,99118,2006,2.430000 ~ 2.840000,0.303750 ~ 0.355000,0,19 M 127 K 343 B,10 M 180 K 589 B
Fri Nov 23 00:06:18 2018,25715046,18,2000,99331,99297,99354,99267,97792,100201,0,0,16309,3665,55185,99544,2006 ~ 3006,2.320000 ~ 2.730000,0.290000 ~ 0.341250,0,23 M 514 K 717 B,11 M 127 K 626 B
Fri Nov 23 00:06:19 2018,25715046,19,3000,140089,140089,140089,134285,134285,134285,0,0,107007,64844,136095,99544,2006 ~ 3006,2.320000 ~ 2.730000,0.290000 ~ 0.341250,0,23 M 514 K 717 B,11 M 127 K 626 B
Fri Nov 23 00:07:19 2018,25715047,19,3000,148996,148975,149014,148960,147630,149815,0,0,156768,139761,190765,103793,3006,2.600000 ~ 3.970000,0.325000 ~ 0.496250,0 ~ 1,28 M 643 K 295 B,13 M 735 K 474 B
Fri Nov 23 00:08:19 2018,25715048,19,3000,149002,148981,149011,149025,148266,149864,0,0,150124,135808,182368,149062,3006,3.510000 ~ 4.280000,0.438750 ~ 0.535000,0 ~ 1,29 M 84 K 597 B,13 M 563 K 896 B
Fri Nov 23 00:09:19 2018,25715049,19,3000,149000,148972,149017,149036,147688,150144,0,0,154118,136764,182258,148675,3006,3.830000 ~ 5.770000,0.478750 ~ 0.721250,0 ~ 5,26 M 815 K 592 B,12 M 449 K 428 B
Fri Nov 23 00:10:19 2018,25715050,19,3000,148997,148980,149009,148984,147815,149920,0,0,150635,135745,184612,148944,3006,5.220000 ~ 8.570000,0.652500 ~ 1.071250,0 ~ 5,26 M 643 K 15 B,12 M 408 K 770 B
Fri Nov 23 00:11:19 2018,25715051,19,3000,149000,148987,149014,148977,148035,150171,0,0,148924,130978,175427,149175,3006,6.540000 ~ 8.280000,0.817500 ~ 1.035000,0 ~ 1,26 M 567 K 877 B,12 M 361 K 893 B
Fri Nov 23 00:12:00 2018,25715052,0,3000,149010,149010,149010,144642,144642,144642,0,0,204361,170135,262648,150497,3057 ~ 4006,7.000000 ~ 8.860000,0.875000 ~ 1.107500,0 ~ 5,34 M 35 K 385 B,14 M 720 K 867 B
Fri Nov 23 00:12:02 2018,25715052,2,4000,194515,190343,198687,191354,185002,197705,0,0,246792,200820,265993,150497,3057 ~ 4006,7.000000 ~ 8.860000,0.875000 ~ 1.107500,0 ~ 5,34 M 35 K 385 B,14 M 720 K 867 B
Fri Nov 23 00:12:03 2018,25715052,3,3000,149005,149005,149005,149451,149451,149451,0,0,260929,250205,272221,150497,3057 ~ 4006,7.000000 ~ 8.860000,0.875000 ~ 1.107500,0 ~ 5,34 M 35 K 385 B,14 M 720 K 867 B
Fri Nov 23 00:12:19 2018,25715052,19,4000,198671,198656,198696,198517,197494,199561,0,0,282755,241711,494608,150497,3057 ~ 4006,7.000000 ~ 8.860000,0.875000 ~ 1.107500,0 ~ 5,34 M 35 K 385 B,14 M 720 K 867 B
Fri Nov 23 00:13:04 2018,25715053,4,4000,198664,198654,198678,198796,197987,199941,0,0,304746,248846,425444,197765,4006,7.510000 ~ 9.000000,0.938750 ~ 1.125000,0 ~ 4,34 M 58 K 218 B,14 M 824 K 965 B
Fri Nov 23 00:13:05 2018,25715053,5,3000,149009,149009,149009,149161,149161,149161,0,0,278590,244835,305521,197765,4006,7.510000 ~ 9.000000,0.938750 ~ 1.125000,0 ~ 4,34 M 58 K 218 B,14 M 824 K 965 B
Fri Nov 23 00:13:19 2018,25715053,19,4000,198669,198650,198690,198601,197517,199892,0,0,285340,233157,414290,197765,4006,7.510000 ~ 9.000000,0.938750 ~ 1.125000,0 ~ 4,34 M 58 K 218 B,14 M 824 K 965 B
Fri Nov 23 00:14:19 2018,25715054,19,4000,198668,198647,198694,198662,197051,200776,0,0,296780,226493,550382,199342,4006,8.310000 ~ 9.660000,1.038750 ~ 1.207500,0 ~ 5,36 M 645 K 877 B,15 M 995 K 907 B
Fri Nov 23 00:15:00 2018,25715055,0,3000,149007,149007,149007,149013,149013,149013,0,0,293056,268833,322131,197743,4006,7.970000 ~ 9.210000,0.996250 ~ 1.151250,0 ~ 103,36 M 558 K 616 B,15 M 958 K 391 B
Fri Nov 23 00:15:02 2018,25715055,2,4000,198674,198671,198677,197892,197282,198503,0,0,281124,242464,362906,197743,4006,7.970000 ~ 9.210000,0.996250 ~ 1.151250,0 ~ 103,36 M 558 K 616 B,15 M 958 K 391 B
Fri Nov 23 00:15:03 2018,25715055,3,3000,148999,148999,148999,149971,149971,149971,0,0,337336,297014,415239,197743,4006,7.970000 ~ 9.210000,0.996250 ~ 1.151250,0 ~ 103,36 M 558 K 616 B,15 M 958 K 391 B
Fri Nov 23 00:15:19 2018,25715055,19,4000,198670,198660,198688,198663,197347,199792,0,0,295250,222291,486224,197743,4006,7.970000 ~ 9.210000,0.996250 ~ 1.151250,0 ~ 103,36 M 558 K 616 B,15 M 958 K 391 B
Fri Nov 23 00:16:19 2018,25715056,19,4000,198668,198643,198684,198659,196797,202453,0,0,297554,219582,851349,199352,4006,7.500000 ~ 9.000000,0.937500 ~ 1.125000,0 ~ 3,39 M 912 K 286 B,17 M 324 K 738 B
Fri Nov 23 00:17:01 2018,25715057,1,4000,198659,198654,198665,199075,198001,200150,0,0,315832,227529,412499,198296,4006 ~ 5006,8.400000 ~ 9.490000,1.050000 ~ 1.186250,2 ~ 5,49 M 245 K 340 B,20 M 456 K 166 B
Fri Nov 23 00:17:19 2018,25715057,19,5000,247802,238999,248340,246507,226149,250728,0,2966,461720,258186,956532,198296,4006 ~ 5006,8.400000 ~ 9.490000,1.050000 ~ 1.186250,2 ~ 5,49 M 245 K 340 B,20 M 456 K 166 B
Fri Nov 23 00:18:19 2018,25715058,19,5000,248321,248301,248342,247970,245009,252036,0,0,475771,316746,898564,245164,5006,8.640000 ~ 9.790000,1.080000 ~ 1.223750,1 ~ 217,44 M 791 K 846 B,18 M 695 K 500 B
Fri Nov 23 00:19:19 2018,25715059,19,5000,248319,248269,248345,248464,244778,252321,1,2986,516596,314028,1356906,247601,5006,8.780000 ~ 10.030000,1.097500 ~ 1.253750,0 ~ 2,45 M 123 K 295 B,18 M 784 K 823 B
Fri Nov 23 00:20:19 2018,25715060,19,5000,248313,248289,248343,248321,244928,253526,0,0,539169,307360,1379311,248895,5006,9.130000 ~ 10.410000,1.141250 ~ 1.301250,0 ~ 6,44 M 500 K 861 B,18 M 505 K 78 B
Fri Nov 23 00:21:19 2018,25715061,19,5000,248320,248293,248345,248164,244098,253124,0,0,499059,302299,1025490,248441,5006,8.540000 ~ 10.080000,1.067500 ~ 1.260000,2 ~ 6,41 M 842 K 142 B,17 M 201 K 539 B
Fri Nov 23 00:22:02 2018,25715062,2,5000,248315,248296,248340,247404,243898,250305,0,0,532134,323482,1065302,247986,5006 ~ 6007,8.660000 ~ 10.590000,1.082500 ~ 1.323750,5 ~ 113,52 M 605 K 166 B,21 M 182 K 244 B
Fri Nov 23 00:22:19 2018,25715062,19,6000,297588,291494,298006,297097,278887,302831,2,14884,576253,304318,1885024,247986,5006 ~ 6007,8.660000 ~ 10.590000,1.082500 ~ 1.323750,5 ~ 113,52 M 605 K 166 B,21 M 182 K 244 B
Fri Nov 23 00:23:19 2018,25715063,19,6000,297977,297931,298020,298023,292416,301804,1,5992,575007,286374,1448526,291989,6006,9.930000 ~ 10.870000,1.241250 ~ 1.358750,9 ~ 112,57 M 704 K 696 B,23 M 429 K 531 B
Fri Nov 23 00:24:19 2018,25715064,19,6000,297983,297945,298014,297697,293312,300547,0,5945,542218,262331,2101900,298953,6006,10.400000 ~ 11.560000,1.300000 ~ 1.445000,9 ~ 217,52 M 679 K 137 B,21 M 370 K 328 B
Fri Nov 23 00:25:19 2018,25715065,19,6000,297987,297964,298009,298074,293315,301791,0,6020,532445,311082,1207496,297305,6006,10.110000 ~ 10.830000,1.263750 ~ 1.353750,2 ~ 217,52 M 242 K 954 B,21 M 129 K 753 B
Fri Nov 23 00:26:19 2018,25715066,19,6000,297987,297961,298010,297922,294523,302041,1,2996,516042,280258,2140379,297865,6006,10.760000 ~ 11.560000,1.345000 ~ 1.445000,4 ~ 10,57 M 922 K 56 B,23 M 513 K 923 B
Fri Nov 23 00:27:04 2018,25715067,4,6000,297987,297978,297993,295512,294200,298081,0,0,525447,274101,1200621,298573,6006 ~ 6986,10.810000 ~ 11.880000,1.351250 ~ 1.485000,0 ~ 9,60 M 315 K 867 B,23 M 785 K 978 B
Fri Nov 23 00:27:19 2018,25715067,19,7000,343939,327709,346609,342483,315535,347153,0,5944,675479,279334,4776545,298573,6006 ~ 6986,10.810000 ~ 11.880000,1.351250 ~ 1.485000,0 ~ 9,60 M 315 K 867 B,23 M 785 K 978 B
Fri Nov 23 00:28:19 2018,25715068,19,7000,347169,346539,347443,346716,339864,357318,0,14870,739222,373259,1627126,334589,6985 ~ 7002,10.800000 ~ 11.850000,1.350000 ~ 1.481250,1 ~ 104,65 M 678 K 5 B,25 M 960 K 685 B
Fri Nov 23 00:29:19 2018,25715069,19,7000,347546,347394,347668,346728,339985,353094,2,14891,794585,354596,8377112,346538,7002 ~ 7006,11.540000 ~ 12.500000,1.442500 ~ 1.562500,8 ~ 428,77 M 814 K 907 B,30 M 658 K 49 B
Fri Nov 23 00:30:19 2018,25715070,19,7000,347612,347567,347643,347296,340982,352935,1,29812,808310,367533,2127608,346900,7005 ~ 7006,11.790000 ~ 12.520000,1.473750 ~ 1.565000,9 ~ 10,61 M 125 K 980 B,23 M 885 K 159 B
Fri Nov 23 00:31:19 2018,25715071,19,7000,347601,347533,347651,346781,340193,352651,2,20927,797381,379936,2361478,347387,7005 ~ 7007,11.810000 ~ 12.390000,1.476250 ~ 1.548750,1 ~ 104,66 M 887 K 960 B,26 M 149 K 590 B
Fri Nov 23 00:32:05 2018,25715072,5,7000,347596,347554,347649,347867,341761,355413,1,11869,1005228,406935,6129402,346961,7006 ~ 7991,11.900000 ~ 13.610000,1.487500 ~ 1.701250,8 ~ 113,76 M 389 K 36 B,30 M 65 K 237 B
Fri Nov 23 00:32:19 2018,25715072,19,8000,393788,376866,396516,390440,365025,402575,0,11941,985467,355395,10932315,346961,7006 ~ 7991,11.900000 ~ 13.610000,1.487500 ~ 1.701250,8 ~ 113,76 M 389 K 36 B,30 M 65 K 237 B
Fri Nov 23 00:33:19 2018,25715073,19,8000,396691,396466,396836,396122,388606,406435,3,51564,989410,456516,2610468,380638,7991 ~ 7998,13.330000 ~ 14.310000,1.666250 ~ 1.788750,6 ~ 244,76 M 694 K 127 B,29 M 623 K 15 B
