Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Nov 23 00:54:19 2018,25715094,19,1000,49130,41157,49681,49111,41056,50350,0,0,23197,7398,63001,33029,5 ~ 1006,0.000000 ~ 0.440000,0.000000 ~ 0.055000,0,9 M 564 K 21 B,4 M 951 K 289 B
Fri Nov 23 00:55:19 2018,25715095,19,1000,49656,49594,49680,49655,48848,50569,0,0,29725,18285,57965,43799,1006,0.410000 ~ 1.470000,0.051250 ~ 0.183750,0,9 M 363 K 408 B,4 M 903 K 199 B
Fri Nov 23 00:56:19 2018,25715096,19,1000,49664,49618,49683,49665,49128,50118,0,0,25878,18963,61357,49599,1006,0.710000 ~ 1.300000,0.088750 ~ 0.162500,0,9 M 388 K 205 B,4 M 925 K 537 B
Fri Nov 23 00:57:19 2018,25715097,19,1000,49662,49612,49680,49660,48821,50458,0,0,26511,18974,52953,49597,1006,0.600000 ~ 0.980000,0.075000 ~ 0.122500,0,9 M 355 K 206 B,4 M 902 K 244 B
Fri Nov 23 00:58:19 2018,25715098,19,1000,49665,49636,49678,49667,49291,49962,0,0,24676,18138,36406,49832,1006,0.420000 ~ 0.600000,0.052500 ~ 0.075000,0,9 M 382 K 146 B,4 M 903 K 228 B
Fri Nov 23 00:59:04 2018,25715099,4,1000,49660,49640,49677,49626,49301,49935,0,0,28750,18404,48569,49605,1006 ~ 2006,0.400000 ~ 1.710000,0.050000 ~ 0.213750,0,18 M 684 K 483 B,9 M 778 K 711 B
Fri Nov 23 00:59:19 2018,25715099,19,2000,99312,98959,99355,99331,99037,99644,0,0,12728,595,61115,49605,1006 ~ 2006,0.400000 ~ 1.710000,0.050000 ~ 0.213750,0,18 M 684 K 483 B,9 M 778 K 711 B
Fri Nov 23 01:00:19 2018,25715100,19,2000,99327,99275,99351,99325,98134,99936,0,0,14826,577,59752,89895,2006,1.710000 ~ 3.070000,0.213750 ~ 0.383750,0 ~ 1,18 M 837 K 776 B,9 M 847 K 211 B
Fri Nov 23 01:01:19 2018,25715101,19,2000,99334,99298,99353,99333,98473,100128,0,0,14252,583,62598,99393,2006,2.690000 ~ 4.020000,0.336250 ~ 0.502500,0,18 M 685 K 776 B,9 M 779 K 913 B
Fri Nov 23 01:02:19 2018,25715102,19,2000,99334,99296,99350,99337,98837,100166,0,0,14976,592,50991,99423,2006,3.190000 ~ 3.780000,0.398750 ~ 0.472500,0,18 M 714 K 567 B,9 M 779 K 346 B
Fri Nov 23 01:03:19 2018,25715103,19,2000,99336,99302,99355,99335,98599,100042,0,0,13372,590,56960,99415,2006,2.770000 ~ 3.810000,0.346250 ~ 0.476250,0,18 M 931 K 708 B,9 M 798 K 472 B
Fri Nov 23 01:04:05 2018,25715104,5,2000,99335,99308,99348,99334,98814,99799,0,0,13352,665,36759,99022,2006 ~ 3006,2.410000 ~ 5.980000,0.301250 ~ 0.747500,0 ~ 106,26 M 85 K 574 B,11 M 851 K 113 B
Fri Nov 23 01:04:19 2018,25715104,19,3000,148369,140116,149021,147808,133687,150316,0,0,148325,23622,198358,99022,2006 ~ 3006,2.410000 ~ 5.980000,0.301250 ~ 0.747500,0 ~ 106,26 M 85 K 574 B,11 M 851 K 113 B
Fri Nov 23 01:05:19 2018,25715105,19,3000,149001,148981,149014,149022,147385,150461,0,0,152275,130601,183893,136492,3006,5.500000 ~ 6.470000,0.687500 ~ 0.808750,0 ~ 106,30 M 785 K 16 B,13 M 981 K 25 B
Fri Nov 23 01:06:19 2018,25715106,19,3000,149004,148987,149013,148987,148355,149911,0,0,149416,135563,170308,148600,3006,5.260000 ~ 7.060000,0.657500 ~ 0.882500,0 ~ 3,28 M 41 K 287 B,12 M 966 K 661 B
Fri Nov 23 01:07:19 2018,25715107,19,3000,149005,148991,149014,149000,147596,150027,0,0,153719,135244,272112,149410,3006,6.390000 ~ 6.970000,0.798750 ~ 0.871250,0 ~ 4,30 M 576 K 709 B,13 M 866 K 533 B
Fri Nov 23 01:08:19 2018,25715108,19,3000,149004,148993,149016,149046,147814,149667,0,0,158892,130997,269396,148864,3006,5.950000 ~ 7.680000,0.743750 ~ 0.960000,0 ~ 6,28 M 199 K 222 B,12 M 768 K 356 B
Fri Nov 23 01:09:07 2018,25715109,7,3000,149007,149002,149015,148651,145567,149785,0,0,154901,133617,185789,148716,3006 ~ 4006,6.140000 ~ 6.870000,0.767500 ~ 0.858750,0 ~ 6,35 M 825 K 441 B,14 M 1005 K 623 B
