Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 12:03:19 2018,25711443,19,100,46795,46321,46916,46789,46288,46918,0,0,2528,2466,2606,0,7 ~ 108,0.020000 ~ 0.520000,0.005000 ~ 0.130000,0,8 M 1018 K 620 B,4 M 807 K 200 B
Tue Nov 20 12:04:19 2018,25711444,19,100,46917,46906,46927,46917,46897,46935,0,0,2618,2531,2727,12644,108,0.470000 ~ 1.160000,0.117500 ~ 0.290000,0,8 M 1020 K 394 B,4 M 807 K 787 B
Tue Nov 20 12:05:19 2018,25711445,19,100,46920,46841,46935,46920,46836,46938,0,0,2614,2521,2901,46928,108,0.680000 ~ 1.010000,0.170000 ~ 0.252500,0,8 M 1019 K 732 B,4 M 807 K 805 B
Tue Nov 20 12:06:19 2018,25711446,19,100,46925,46914,46957,46924,46915,46959,0,0,2585,2503,2688,47004,108,0.790000 ~ 1.200000,0.197500 ~ 0.300000,0,9 M 399 B,4 M 808 K 915 B
Tue Nov 20 12:07:19 2018,25711447,19,100,46923,46913,46935,46923,46912,46936,0,0,2609,2512,2781,46825,108,0.830000 ~ 1.370000,0.207500 ~ 0.342500,0,8 M 1021 K 881 B,4 M 808 K 697 B
Tue Nov 20 12:08:16 2018,25711448,16,100,46925,46914,46949,46916,46788,46944,0,0,2972,2520,8974,47024,108 ~ 208,1.250000 ~ 1.870000,0.312500 ~ 0.467500,0,15 M 863 K 419 B,6 M 847 K 199 B
Tue Nov 20 12:08:19 2018,25711448,19,200,93738,93308,93958,93702,93070,94125,0,0,13005,11153,13654,47024,108 ~ 208,1.250000 ~ 1.870000,0.312500 ~ 0.467500,0,15 M 863 K 419 B,6 M 847 K 199 B
Tue Nov 20 12:09:19 2018,25711449,19,200,93973,93860,94003,93973,93860,94000,0,0,10234,10131,10381,56202,208,1.650000 ~ 2.980000,0.412500 ~ 0.745000,4,15 M 870 K 860 B,6 M 848 K 182 B
Tue Nov 20 12:10:19 2018,25711450,19,200,93984,93962,94003,93983,93781,94219,0,0,10306,10114,10699,93939,208,2.200000 ~ 2.980000,0.550000 ~ 0.745000,4,15 M 878 K 244 B,6 M 851 K 984 B
Tue Nov 20 12:11:19 2018,25711451,19,200,93976,93956,93996,93971,93862,94057,0,0,10294,10093,10579,94180,208,1.800000 ~ 2.600000,0.450000 ~ 0.650000,4,15 M 868 K 355 B,6 M 848 K 286 B
