Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 15:00:19 2018,25711620,19,100,46884,46351,46937,46882,46309,46996,0,0,2744,2565,2996,82257,7 ~ 108,0.010000 ~ 0.580000,0.002500 ~ 0.145000,0,8 M 834 K 270 B,4 M 622 K 572 B
Tue Nov 20 15:01:19 2018,25711621,19,100,46925,46880,46950,46924,46857,46958,0,0,2823,2608,3516,41192,108,0.380000 ~ 0.670000,0.095000 ~ 0.167500,0,8 M 834 K 976 B,4 M 619 K 985 B
Tue Nov 20 15:02:19 2018,25711622,19,100,46926,46913,46941,46926,46891,46971,0,0,2736,2555,3085,46961,108,0.570000 ~ 1.100000,0.142500 ~ 0.275000,0,8 M 845 K 778 B,4 M 622 K 974 B
Tue Nov 20 15:03:19 2018,25711623,19,100,46928,46915,46943,46928,46907,46954,0,0,2691,2579,2849,46935,108,0.600000 ~ 1.100000,0.150000 ~ 0.275000,0,8 M 844 K 820 B,4 M 624 K 810 B
Tue Nov 20 15:04:19 2018,25711624,19,100,46924,46910,46933,46924,46902,46936,0,0,2689,2580,2841,46780,108,0.490000 ~ 0.850000,0.122500 ~ 0.212500,0,8 M 836 K 878 B,4 M 624 K 416 B
Tue Nov 20 15:05:03 2018,25711625,3,100,46919,46916,46922,46916,46905,46929,0,0,2895,2836,2986,46947,108 ~ 208,0.750000 ~ 1.570000,0.187500 ~ 0.392500,0 ~ 5,15 M 516 K 993 B,6 M 487 K 618 B
Tue Nov 20 15:05:19 2018,25711625,19,200,93942,93412,93992,93926,93014,94086,0,0,10848,8693,13820,46947,108 ~ 208,0.750000 ~ 1.570000,0.187500 ~ 0.392500,0 ~ 5,15 M 516 K 993 B,6 M 487 K 618 B
Tue Nov 20 15:06:19 2018,25711626,19,200,93980,93962,93991,93981,93919,94099,0,0,10367,10040,11294,85121,208,1.370000 ~ 2.090000,0.342500 ~ 0.522500,4 ~ 5,15 M 511 K 389 B,6 M 485 K 555 B
Tue Nov 20 15:07:19 2018,25711627,19,200,93987,93978,94001,93985,93931,94044,0,0,10285,10158,10648,93753,208,1.450000 ~ 1.880000,0.362500 ~ 0.470000,4 ~ 5,15 M 494 K 527 B,6 M 477 K 868 B
Tue Nov 20 15:08:19 2018,25711628,19,200,93984,93970,94006,93984,93952,94058,0,0,10294,10156,10506,94164,208,1.660000 ~ 2.180000,0.415000 ~ 0.545000,4 ~ 5,15 M 509 K 747 B,6 M 481 K 644 B
Tue Nov 20 15:09:19 2018,25711629,19,200,93981,93908,93999,93982,93922,94020,0,0,10294,10133,10528,93890,208,1.530000 ~ 2.090000,0.382500 ~ 0.522500,4 ~ 5,15 M 497 K 2 B,6 M 478 K 549 B
Tue Nov 20 15:10:05 2018,25711630,5,200,93981,93960,93993,93959,93840,93992,0,0,11085,10157,15897,94080,208 ~ 301,1.830000 ~ 3.010000,0.457500 ~ 0.752500,4 ~ 6,21 M 548 K 417 B,8 M 10 K 266 B
Tue Nov 20 15:10:19 2018,25711630,19,300,133906,119625,137780,133884,119457,137779,0,0,16404,15362,17846,94080,208 ~ 301,1.830000 ~ 3.010000,0.457500 ~ 0.752500,4 ~ 6,21 M 548 K 417 B,8 M 10 K 266 B
Tue Nov 20 15:11:19 2018,25711631,19,300,139897,137768,141069,139897,137746,141075,0,0,16751,16319,17295,123374,301 ~ 308,3.010000 ~ 3.910000,0.752500 ~ 0.977500,5 ~ 19,21 M 1023 K 941 B,8 M 149 K 212 B
Tue Nov 20 15:12:19 2018,25711632,19,300,141056,141046,141071,141055,140993,141113,0,0,16673,16241,17506,140111,308,3.280000 ~ 3.900000,0.820000 ~ 0.975000,6 ~ 19,22 M 294 K 955 B,8 M 257 K 969 B
Tue Nov 20 15:13:19 2018,25711633,19,300,141062,141039,141072,141062,141021,141084,0,0,16705,16308,17171,141227,308,3.530000 ~ 4.680000,0.882500 ~ 1.170000,5 ~ 6,22 M 13 K 190 B,8 M 137 K 1015 B
Tue Nov 20 15:14:19 2018,25711634,19,300,141063,141053,141075,141063,141016,141095,0,0,16812,16366,17268,140844,308,3.620000 ~ 4.710000,0.905000 ~ 1.177500,5 ~ 6,22 M 30 K 251 B,8 M 144 K 950 B
Tue Nov 20 15:15:06 2018,25711635,6,300,141058,141037,141069,141048,140973,141104,0,0,17058,16259,20928,141279,308 ~ 408,3.620000 ~ 5.310000,0.905000 ~ 1.327500,5 ~ 6,28 M 531 K 378 B,9 M 825 K 67 B
Tue Nov 20 15:15:19 2018,25711635,19,400,185322,169128,188064,185243,168783,188234,0,0,27456,21563,30762,141279,308 ~ 408,3.620000 ~ 5.310000,0.905000 ~ 1.327500,5 ~ 6,28 M 531 K 378 B,9 M 825 K 67 B
Tue Nov 20 15:16:19 2018,25711636,19,400,188048,187963,188077,188057,187794,188266,0,0,28682,26329,31094,170520,408,5.310000 ~ 6.130000,1.327500 ~ 1.532500,5 ~ 6,28 M 544 K 1019 B,9 M 824 K 202 B
Tue Nov 20 15:17:19 2018,25711637,19,400,188047,188021,188061,188042,187788,188318,0,0,28801,25982,31183,188052,408,5.900000 ~ 6.430000,1.475000 ~ 1.607500,6,31 M 455 K 560 B,10 M 821 K 71 B
Tue Nov 20 15:18:19 2018,25711638,19,400,188046,188022,188072,188039,187765,188327,0,0,28732,26044,30935,188037,408,5.750000 ~ 6.470000,1.437500 ~ 1.617500,5 ~ 6,31 M 432 K 423 B,10 M 816 K 496 B
Tue Nov 20 15:19:19 2018,25711639,19,400,188044,188015,188060,188052,187808,188252,0,0,28797,26300,31041,188503,408,5.670000 ~ 6.760000,1.417500 ~ 1.690000,5 ~ 109,31 M 548 K 966 B,10 M 858 K 619 B
Tue Nov 20 15:20:07 2018,25711640,7,400,188042,188021,188053,188033,187795,188187,0,0,28840,26821,30691,187497,408 ~ 508,5.670000 ~ 7.110000,1.417500 ~ 1.777500,5 ~ 6,35 M 23 K 225 B,11 M 510 K 779 B
Tue Nov 20 15:20:19 2018,25711640,19,500,233150,218007,234736,232937,216643,234976,0,0,54562,30963,60310,187497,408 ~ 508,5.670000 ~ 7.110000,1.417500 ~ 1.777500,5 ~ 6,35 M 23 K 225 B,11 M 510 K 779 B
Tue Nov 20 15:21:19 2018,25711641,19,500,234708,234680,234753,234696,233982,235309,0,0,55575,51050,60289,215537,508,6.860000 ~ 8.010000,1.715000 ~ 2.002500,5 ~ 7,35 M 111 K 609 B,11 M 561 K 887 B
Tue Nov 20 15:22:19 2018,25711642,19,500,234707,234593,234743,234708,233943,235266,0,0,55995,51518,63402,235131,508,7.300000 ~ 8.240000,1.825000 ~ 2.060000,7 ~ 109,35 M 441 K 200 B,11 M 676 K 59 B
Tue Nov 20 15:23:19 2018,25711643,19,500,234722,234689,234759,234727,234103,235103,0,0,55296,50764,61359,234233,508,7.020000 ~ 7.790000,1.755000 ~ 1.947500,5 ~ 7,38 M 571 K 261 B,12 M 704 K 459 B
Tue Nov 20 15:24:19 2018,25711644,19,500,234707,234621,234752,234718,233726,235428,0,0,55825,51290,62115,235130,508,7.550000 ~ 8.380000,1.887500 ~ 2.095000,5 ~ 7,38 M 557 K 545 B,12 M 674 K 594 B
Tue Nov 20 15:25:09 2018,25711645,9,500,234699,234591,234746,232737,215131,235454,0,0,57917,51331,136807,234589,508 ~ 608,6.290000 ~ 8.750000,1.572500 ~ 2.187500,0 ~ 13,39 M 457 K 940 B,12 M 690 K 985 B
Tue Nov 20 15:25:19 2018,25711645,19,600,277511,272934,279037,154537,139007,173788,0,0,5796521,284107,11274001,234589,508 ~ 608,6.290000 ~ 8.750000,1.572500 ~ 2.187500,0 ~ 13,39 M 457 K 940 B,12 M 690 K 985 B
