Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 21:05:19 2018,25714865,19,1000,49650,49637,49660,49716,49611,49903,0,0,14945,11281,19786,0,6 ~ 1007,0.000000,0.000000,0,10 M 725 K 39 B,6 M 260 K 337 B
Thu Nov 22 21:06:19 2018,25714866,19,1000,49649,49596,49671,49646,48952,50265,0,0,25070,14175,57383,10548,1007,0.000000 ~ 0.210000,0.000000 ~ 0.026250,0,10 M 812 K 237 B,6 M 287 K 382 B
Thu Nov 22 21:07:19 2018,25714867,19,1000,49647,49530,49671,49646,49029,50290,0,0,25858,17358,59370,49685,1007,0.110000 ~ 0.230000,0.013750 ~ 0.028750,0,11 M 49 K 9 B,6 M 409 K 485 B
Thu Nov 22 21:08:19 2018,25714868,19,1000,49648,49571,49673,49649,48785,50403,0,0,26440,19840,55686,49684,1007,0.150000 ~ 0.450000,0.018750 ~ 0.056250,0,10 M 810 K 580 B,6 M 306 K 27 B
Thu Nov 22 21:09:19 2018,25714869,19,1000,49652,49597,49673,49638,48718,50523,0,0,27370,19495,52784,49654,1007,0.270000 ~ 0.620000,0.033750 ~ 0.077500,0,10 M 897 K 543 B,6 M 272 K 91 B
Thu Nov 22 21:10:17 2018,25714870,17,1000,49639,49552,49675,49655,48992,50401,0,0,32916,18840,62761,49549,1007 ~ 2007,0.350000 ~ 0.770000,0.043750 ~ 0.096250,0,21 M 425 K 18 B,12 M 519 K 831 B
Thu Nov 22 21:10:19 2018,25714870,19,2000,99292,99283,99302,99387,99254,99520,0,0,20606,16620,27330,49549,1007 ~ 2007,0.350000 ~ 0.770000,0.043750 ~ 0.096250,0,21 M 425 K 18 B,12 M 519 K 831 B
Thu Nov 22 21:11:19 2018,25714871,19,2000,99302,99218,99332,99304,97706,100078,0,0,22458,16418,69543,56920,2007,0.700000 ~ 2.440000,0.087500 ~ 0.305000,0,21 M 447 K 781 B,12 M 522 K 3 B
Thu Nov 22 21:12:19 2018,25714872,19,2000,99311,99263,99333,99308,98428,100154,0,0,21353,16397,50056,99192,2007,1.990000 ~ 3.230000,0.248750 ~ 0.403750,0 ~ 1,21 M 530 K 204 B,12 M 544 K 749 B
Thu Nov 22 21:13:19 2018,25714873,19,2000,99307,99224,99344,99305,98300,100190,0,0,23621,16704,58015,99551,2007,2.720000 ~ 3.360000,0.340000 ~ 0.420000,0,21 M 470 K 423 B,12 M 560 K 103 B
Thu Nov 22 21:14:19 2018,25714874,19,2000,99302,99229,99335,99266,98473,100074,0,0,23630,16152,57744,99125,2007,2.550000 ~ 3.150000,0.318750 ~ 0.393750,0 ~ 1,21 M 500 K 780 B,12 M 569 K 571 B
Thu Nov 22 21:15:19 2018,25714875,19,2000,99296,99223,99329,99161,95802,99955,0,0,26271,15533,88702,99450,2007 ~ 3007,2.570000 ~ 4.160000,0.321250 ~ 0.520000,0,29 M 801 K 319 B,15 M 818 K 525 B
Thu Nov 22 21:16:19 2018,25714876,19,3000,148912,147769,148996,148705,145015,150429,0,0,150407,120782,195020,102635,3007,3.740000 ~ 4.660000,0.467500 ~ 0.582500,0 ~ 4,30 M 354 K 403 B,16 M 197 K 938 B
Thu Nov 22 21:17:19 2018,25714877,19,3000,148966,148907,148996,149079,147822,150644,0,0,150162,129512,172726,149223,3007,3.720000 ~ 5.310000,0.465000 ~ 0.663750,0 ~ 4,30 M 359 K 172 B,16 M 418 K 691 B
Thu Nov 22 21:18:19 2018,25714878,19,3000,148973,148947,148994,148985,147728,150103,0,0,148193,128835,197584,149048,3007,3.440000 ~ 5.310000,0.430000 ~ 0.663750,0 ~ 6,30 M 268 K 746 B,16 M 317 K 876 B
