Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 16:18:19 2018,25711698,19,1000,49634,49563,49658,49667,49492,50058,0,0,21006,19895,26434,94,7 ~ 1008,0.000000 ~ 1.050000,0.000000 ~ 0.262500,0 ~ 2,10 M 733 K 174 B,6 M 266 K 164 B
Tue Nov 20 16:19:19 2018,25711699,19,1000,49636,49572,49654,49636,49383,49856,0,0,21896,20179,30234,39021,1008,0.680000 ~ 1.050000,0.170000 ~ 0.262500,0 ~ 2,10 M 766 K 448 B,6 M 282 K 480 B
Tue Nov 20 16:20:19 2018,25711700,19,1000,49645,49615,49661,49644,49591,49698,0,0,21686,20253,27798,49596,1008,0.680000 ~ 1.130000,0.170000 ~ 0.282500,0,10 M 740 K 339 B,6 M 266 K 34 B
Tue Nov 20 16:21:19 2018,25711701,19,1000,49650,49632,49661,49651,49615,49691,0,0,20988,20212,22431,49760,1008,0.880000 ~ 1.310000,0.220000 ~ 0.327500,0 ~ 2,10 M 729 K 612 B,6 M 263 K 144 B
Tue Nov 20 16:22:19 2018,25711702,19,1000,49637,49605,49657,49637,49169,50068,0,0,32684,21160,52940,49487,1008,1.030000 ~ 1.350000,0.257500 ~ 0.337500,0 ~ 1,10 M 774 K 901 B,6 M 259 K 74 B
Tue Nov 20 16:23:05 2018,25711703,5,1000,49628,49599,49660,49625,49478,49743,0,0,22078,21154,22878,49785,1008 ~ 2008,0.880000 ~ 2.590000,0.220000 ~ 0.647500,0 ~ 203,19 M 553 K 497 B,9 M 1004 K 901 B
Tue Nov 20 16:23:19 2018,25711703,19,2000,99057,95799,99328,98491,89060,100156,0,0,254071,128950,339785,49785,1008 ~ 2008,0.880000 ~ 2.590000,0.220000 ~ 0.647500,0 ~ 203,19 M 553 K 497 B,9 M 1004 K 901 B
Tue Nov 20 16:24:19 2018,25711704,19,2000,99316,99290,99333,99312,97855,100939,0,0,251639,218319,378002,84603,2008,2.710000 ~ 4.380000,0.677500 ~ 1.095000,4 ~ 12,19 M 484 K 546 B,9 M 998 K 187 B
Tue Nov 20 16:25:19 2018,25711705,19,2000,99318,99304,99336,99259,98515,100933,0,0,269915,199708,509428,99532,2008,3.560000 ~ 4.780000,0.890000 ~ 1.195000,1 ~ 5,19 M 561 K 392 B,9 M 976 K 657 B
Tue Nov 20 16:26:19 2018,25711706,19,2000,99317,99302,99335,99300,97963,100630,0,0,307805,233011,440414,99175,2008,3.930000 ~ 5.260000,0.982500 ~ 1.315000,0 ~ 5,21 M 452 K 480 B,10 M 849 K 862 B
Tue Nov 20 16:27:19 2018,25711707,19,2000,99313,99288,99330,99401,98369,100975,0,0,303196,213337,464756,99378,2008,4.390000 ~ 5.000000,1.097500 ~ 1.250000,0 ~ 4,19 M 539 K 948 B,9 M 902 K 533 B
Tue Nov 20 16:28:06 2018,25711708,6,2000,99313,99303,99317,99464,98949,99954,0,0,292861,232353,733062,99218,2008 ~ 2976,4.300000 ~ 5.290000,1.075000 ~ 1.322500,0 ~ 232,29 M 814 K 835 B,14 M 447 K 359 B
Tue Nov 20 16:28:19 2018,25711708,19,3000,145345,134126,147387,144175,124915,148404,0,0,419157,271809,751225,99218,2008 ~ 2976,4.300000 ~ 5.290000,1.075000 ~ 1.322500,0 ~ 232,29 M 814 K 835 B,14 M 447 K 359 B
Tue Nov 20 16:29:19 2018,25711709,19,3000,147861,147363,148189,147655,144653,149527,0,6645,500893,266696,1160138,128615,2976 ~ 2992,5.290000 ~ 6.190000,1.322500 ~ 1.547500,2 ~ 106,30 M 234 K 794 B,14 M 592 K 384 B
Tue Nov 20 16:30:19 2018,25711710,19,3000,148586,148130,148986,148489,145942,150751,1,11942,474772,267226,929761,147334,2991 ~ 3008,5.140000 ~ 5.930000,1.285000 ~ 1.482500,1 ~ 209,32 M 570 K 559 B,15 M 753 K 961 B
Tue Nov 20 16:31:19 2018,25711711,19,3000,148969,148936,148991,148731,146117,151587,0,0,531446,241469,1161836,148756,3008,5.560000 ~ 6.100000,1.390000 ~ 1.525000,1 ~ 5,29 M 1008 K 383 B,14 M 545 K 518 B
Tue Nov 20 16:32:19 2018,25711712,19,3000,148966,148945,148992,148875,145870,151223,0,5975,562700,262122,1284600,148527,3008,5.780000 ~ 6.360000,1.445000 ~ 1.590000,2 ~ 103,30 M 252 K 599 B,14 M 609 K 117 B
Tue Nov 20 16:33:08 2018,25711713,8,3000,148969,148924,149005,148960,147309,149967,0,2975,553397,262567,1060406,149069,3008 ~ 3812,5.620000 ~ 6.360000,1.405000 ~ 1.590000,1 ~ 9,34 M 272 K 1020 B,16 M 153 K 16 B
Tue Nov 20 16:33:19 2018,25711713,19,4000,182624,166970,187842,178786,156634,187521,0,2951,730955,345691,1300587,149069,3008 ~ 3812,5.620000 ~ 6.360000,1.405000 ~ 1.590000,1 ~ 9,34 M 272 K 1020 B,16 M 153 K 16 B
