Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 11:25:19 2018,25714285,19,100,46968,46831,47014,46964,46807,47066,0,0,3303,2557,5522,0,6 ~ 107,0.000000 ~ 0.080000,0.000000 ~ 0.010000,0,8 M 848 K 319 B,4 M 628 K 678 B
Thu Nov 22 11:26:19 2018,25714286,19,100,46986,46902,47015,46986,46856,47034,0,0,3066,2480,5251,15058,107,0.060000 ~ 0.260000,0.007500 ~ 0.032500,0 ~ 1,8 M 854 K 888 B,4 M 634 K 176 B
Thu Nov 22 11:27:19 2018,25714287,19,100,46996,46919,47030,46996,46848,47026,0,0,2902,2486,4828,47013,107,0.180000 ~ 0.320000,0.022500 ~ 0.040000,0,8 M 855 K 579 B,4 M 634 K 720 B
Thu Nov 22 11:28:19 2018,25714288,19,100,47005,46961,47030,47005,46912,47069,0,0,2852,2478,4289,46983,107,0.140000 ~ 0.270000,0.017500 ~ 0.033750,0,8 M 855 K 999 B,4 M 634 K 925 B
Thu Nov 22 11:29:19 2018,25714289,19,100,46994,46900,47029,46994,46916,47027,0,0,2955,2480,4906,47015,107,0.140000 ~ 0.230000,0.017500 ~ 0.028750,0,8 M 857 K 216 B,4 M 635 K 378 B
Thu Nov 22 11:30:14 2018,25714290,14,100,46989,46858,47029,46989,46785,47040,0,0,3221,2477,6936,46990,107 ~ 207,0.080000 ~ 0.390000,0.010000 ~ 0.048750,0,17 M 651 K 172 B,9 M 216 K 613 B
Thu Nov 22 11:30:19 2018,25714290,19,200,93948,93921,93979,93941,93914,93980,0,0,2419,462,4003,46990,107 ~ 207,0.080000 ~ 0.390000,0.010000 ~ 0.048750,0,17 M 651 K 172 B,9 M 216 K 613 B
Thu Nov 22 11:31:19 2018,25714291,19,200,93955,93857,93997,93954,93802,93996,0,0,2851,2495,5580,58885,207,0.390000 ~ 1.830000,0.048750 ~ 0.228750,0,17 M 675 K 854 B,9 M 239 K 656 B
Thu Nov 22 11:32:19 2018,25714292,19,200,93958,93863,93993,93959,93836,94055,0,0,2851,2486,5971,93843,207,1.820000 ~ 2.580000,0.227500 ~ 0.322500,0,17 M 676 K 140 B,9 M 240 K 265 B
Thu Nov 22 11:33:19 2018,25714293,19,200,93956,93902,93996,93956,93878,94040,0,0,2907,2485,5135,93968,207,2.060000 ~ 2.740000,0.257500 ~ 0.342500,0,17 M 674 K 336 B,9 M 237 K 88 B
Thu Nov 22 11:34:19 2018,25714294,19,200,93980,93927,94001,93980,93925,94062,0,0,2680,2492,4311,94062,207,2.100000 ~ 2.720000,0.262500 ~ 0.340000,0,17 M 677 K 397 B,9 M 240 K 986 B
Thu Nov 22 11:35:16 2018,25714295,16,200,93964,93873,94006,93955,93822,94006,0,0,2961,2484,5581,93987,207 ~ 307,1.710000 ~ 2.200000,0.213750 ~ 0.275000,0 ~ 3,24 M 485 K 979 B,11 M 283 K 558 B
Thu Nov 22 11:35:19 2018,25714295,19,300,141003,140988,141013,140970,140892,141014,0,0,7661,7403,8066,93987,207 ~ 307,1.710000 ~ 2.200000,0.213750 ~ 0.275000,0 ~ 3,24 M 485 K 979 B,11 M 283 K 558 B
Thu Nov 22 11:36:19 2018,25714296,19,300,140969,140948,140990,140969,140932,141001,0,0,7623,7490,7912,102264,307,1.840000 ~ 3.310000,0.230000 ~ 0.413750,3,24 M 494 K 707 B,11 M 290 K 124 B
Thu Nov 22 11:37:19 2018,25714297,19,300,140974,140957,140992,140975,140951,140995,0,0,7635,7520,7955,141068,307,3.100000 ~ 3.600000,0.387500 ~ 0.450000,3,24 M 499 K 452 B,11 M 290 K 862 B
Thu Nov 22 11:38:19 2018,25714298,19,300,140974,140964,140991,140975,140957,140991,0,0,7621,7481,8037,141054,307,3.100000 ~ 3.750000,0.387500 ~ 0.468750,3,24 M 494 K 422 B,11 M 288 K 772 B
Thu Nov 22 11:39:19 2018,25714299,19,300,140969,140954,140989,140969,140947,140991,0,0,7620,7536,7859,140847,307,2.760000 ~ 3.240000,0.345000 ~ 0.405000,3,24 M 477 K 122 B,11 M 281 K 529 B
Thu Nov 22 11:40:17 2018,25714300,17,300,140971,140950,140993,140967,140879,141050,0,0,7703,7506,11306,140864,307 ~ 407,2.940000 ~ 3.580000,0.367500 ~ 0.447500,3 ~ 4,30 M 994 K 426 B,12 M 955 K 271 B
Thu Nov 22 11:40:19 2018,25714300,19,400,184669,181253,188084,184571,181073,188070,0,0,11409,10110,14826,140864,307 ~ 407,2.940000 ~ 3.580000,0.367500 ~ 0.447500,3 ~ 4,30 M 994 K 426 B,12 M 955 K 271 B
Thu Nov 22 11:41:19 2018,25714301,19,400,188082,188065,188100,188082,188038,188124,0,0,10136,10013,10413,146441,407,3.130000 ~ 4.680000,0.391250 ~ 0.585000,4,31 M 5 K 223 B,12 M 969 K 447 B
Thu Nov 22 11:42:19 2018,25714302,19,400,188085,188049,188115,188084,188040,188132,0,0,10131,10035,10352,187766,407,4.340000 ~ 5.040000,0.542500 ~ 0.630000,4,31 M 13 K 484 B,12 M 973 K 425 B
Thu Nov 22 11:43:19 2018,25714303,19,400,188088,188056,188113,188086,188036,188109,0,0,10148,10023,10504,188416,407,3.770000 ~ 4.640000,0.471250 ~ 0.580000,4,31 M 10 K 515 B,12 M 970 K 311 B
Thu Nov 22 11:44:19 2018,25714304,19,400,188076,188059,188090,188078,188048,188112,0,0,10135,10031,10420,187874,407,3.700000 ~ 4.660000,0.462500 ~ 0.582500,4,31 M 6 K 285 B,12 M 970 K 412 B
Thu Nov 22 11:45:18 2018,25714305,18,400,188087,188072,188103,188087,188059,188124,0,0,10132,10013,10387,188332,407 ~ 505,3.490000 ~ 4.210000,0.436250 ~ 0.526250,4,35 M 9 K 513 B,13 M 987 K 572 B
Thu Nov 22 11:45:19 2018,25714305,19,500,230055,230055,230055,229730,229730,229730,0,0,13730,12456,14426,188332,407 ~ 505,3.490000 ~ 4.210000,0.436250 ~ 0.526250,4,35 M 9 K 513 B,13 M 987 K 572 B
Thu Nov 22 11:46:19 2018,25714306,19,500,235126,235052,235172,235124,235052,235183,0,0,12636,12511,13278,189550,507,3.800000 ~ 4.430000,0.475000 ~ 0.553750,4 ~ 5,37 M 558 K 107 B,14 M 633 K 847 B
Thu Nov 22 11:47:19 2018,25714307,19,500,235139,235028,235201,235140,235037,235212,0,0,12643,12496,13039,235563,507,3.800000 ~ 5.680000,0.475000 ~ 0.710000,5,37 M 568 K 921 B,14 M 637 K 931 B
Thu Nov 22 11:48:19 2018,25714308,19,500,235115,235034,235159,235115,235031,235182,0,0,12649,12501,13062,234852,507,5.680000 ~ 6.740000,0.710000 ~ 0.842500,5,37 M 531 K 441 B,14 M 622 K 595 B
Thu Nov 22 11:49:19 2018,25714309,19,500,235106,234995,235175,235104,234939,235405,0,0,12829,12511,16618,235289,507,4.700000 ~ 6.640000,0.587500 ~ 0.830000,4 ~ 5,37 M 554 K 291 B,14 M 632 K 789 B
Thu Nov 22 11:50:19 2018,25714310,19,500,235113,235018,235157,235116,235009,235212,0,0,12647,12478,13179,234902,507,4.220000 ~ 5.600000,0.527500 ~ 0.700000,4 ~ 5,37 M 577 K 854 B,14 M 641 K 217 B
Thu Nov 22 11:51:00 2018,25714311,0,500,235029,235029,235029,234139,234139,234139,0,0,16327,12580,20973,235167,507 ~ 607,5.600000 ~ 6.560000,0.700000 ~ 0.820000,5 ~ 6,44 M 26 K 435 B,16 M 321 K 985 B
Thu Nov 22 11:51:19 2018,25714311,19,600,281327,272533,281979,281279,272142,282175,0,0,27115,22412,31555,235167,507 ~ 607,5.600000 ~ 6.560000,0.700000 ~ 0.820000,5 ~ 6,44 M 26 K 435 B,16 M 321 K 985 B
Thu Nov 22 11:52:19 2018,25714312,19,600,281933,281861,281984,281943,281270,282483,0,0,26980,24342,31821,279662,607,5.480000 ~ 7.100000,0.685000 ~ 0.887500,5,44 M 42 K 515 B,16 M 319 K 794 B
Thu Nov 22 11:53:19 2018,25714313,19,600,281946,281879,281988,281950,281528,282336,0,0,26809,24474,31179,282263,607,6.470000 ~ 7.250000,0.808750 ~ 0.906250,5,44 M 28 K 763 B,16 M 312 K 941 B
Thu Nov 22 11:54:01 2018,25714314,1,600,281945,281940,281950,281837,281630,282044,0,0,26743,25597,28705,282354,607,5.730000 ~ 6.330000,0.716250 ~ 0.791250,5,44 M 29 K 70 B,16 M 319 K 436 B
Thu Nov 22 11:54:02 2018,25714314,2,500,234958,234958,234958,235206,235206,235206,0,0,26156,24475,28221,282354,607,5.730000 ~ 6.330000,0.716250 ~ 0.791250,5,44 M 29 K 70 B,16 M 319 K 436 B
Thu Nov 22 11:54:19 2018,25714314,19,600,281942,281892,281975,281946,281521,282227,0,0,26839,24745,30658,282354,607,5.730000 ~ 6.330000,0.716250 ~ 0.791250,5,44 M 29 K 70 B,16 M 319 K 436 B
Thu Nov 22 11:55:19 2018,25714315,19,600,281935,281835,281978,281932,281402,282230,0,0,26904,23627,31268,281357,607,5.740000 ~ 6.370000,0.717500 ~ 0.796250,5,44 M 95 K 549 B,16 M 320 K 979 B
Thu Nov 22 11:56:01 2018,25714316,1,600,281949,281930,281968,281754,281562,281947,0,0,26927,24007,29106,281890,607 ~ 707,5.340000 ~ 6.400000,0.667500 ~ 0.800000,5,50 M 556 K 686 B,18 M 189 B
Thu Nov 22 11:56:19 2018,25714316,19,700,327990,317722,328845,327899,316846,329230,0,0,37975,28869,43390,281890,607 ~ 707,5.340000 ~ 6.400000,0.667500 ~ 0.800000,5,50 M 556 K 686 B,18 M 189 B
