Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 15:47:19 2018,25711667,19,1000,49451,46125,49684,49451,46149,49731,0,0,4934,4539,7703,138272,7 ~ 1008,0.000000 ~ 1.010000,0.000000 ~ 0.252500,0,9 M 350 K 12 B,4 M 905 K 520 B
Tue Nov 20 15:48:19 2018,25711668,19,1000,49672,49666,49678,49670,49615,49726,0,0,7671,5841,10584,40912,1008,0.400000 ~ 0.930000,0.100000 ~ 0.232500,0,9 M 364 K 998 B,4 M 903 K 795 B
Tue Nov 20 15:49:19 2018,25711669,19,1000,49672,49667,49678,49672,49652,49692,0,0,8676,8512,8959,49723,1008,0.450000 ~ 0.880000,0.112500 ~ 0.220000,0,9 M 346 K 464 B,4 M 903 K 817 B
Tue Nov 20 15:50:19 2018,25711670,19,1000,49673,49664,49678,49673,49653,49688,0,0,8707,8535,9075,49687,1008,0.450000 ~ 0.970000,0.112500 ~ 0.242500,0,9 M 353 K 303 B,4 M 906 K 959 B
Tue Nov 20 15:51:19 2018,25711671,19,1000,49673,49667,49677,49673,49667,49681,0,0,8651,8540,8928,49612,1008,0.970000 ~ 1.440000,0.242500 ~ 0.360000,0,9 M 350 K 702 B,4 M 905 K 880 B
Tue Nov 20 15:52:04 2018,25711672,4,1000,49672,49664,49677,49672,49668,49675,0,0,8829,8681,8988,49656,1008 ~ 2008,0.890000 ~ 2.320000,0.222500 ~ 0.580000,0 ~ 3,16 M 638 K 507 B,7 M 24 K 678 B
Tue Nov 20 15:52:19 2018,25711672,19,2000,97420,82260,99351,96611,76916,99599,0,0,293386,71610,443530,49656,1008 ~ 2008,0.890000 ~ 2.320000,0.222500 ~ 0.580000,0 ~ 3,16 M 638 K 507 B,7 M 24 K 678 B
Tue Nov 20 15:53:19 2018,25711673,19,2000,99343,99331,99353,99368,97743,100529,0,0,340724,231824,902549,85546,2008,2.320000 ~ 3.930000,0.580000 ~ 0.982500,0 ~ 103,19 M 697 K 509 B,8 M 342 K 421 B
Tue Nov 20 15:54:19 2018,25711674,19,2000,99344,99329,99356,99497,98766,101277,0,0,300189,241586,761222,99363,2008,3.700000 ~ 4.180000,0.925000 ~ 1.045000,0 ~ 7,18 M 324 K 285 B,7 M 697 K 234 B
Tue Nov 20 15:55:19 2018,25711675,19,2000,99345,99332,99354,99312,98290,100227,0,0,273784,233599,430321,99407,2008,2.960000 ~ 4.020000,0.740000 ~ 1.005000,0 ~ 3,18 M 141 K 902 B,7 M 679 K 385 B
