,Quest count,QPS,UDP ARQ Rate,,TCP,,,,UDP ARQ,,,,Nake UDP,,,,Mix UDP,,,
,,,,,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout
Caller,2000,10,25,,193,232,155,0,77,78,77,0,77,78,77,0,77,78,77,0
Peer,,,,,153,231,76,0,75,77,75,0,75,77,75,0,76,77,75,0
Caller,5000,20,25,,193,250,154,0,77,78,77,0,77,78,77,0,77,78,77,0
Peer,,,,,153,231,76,0,75,77,75,0,75,77,75,0,75,77,75,0
Caller,10000,50,25,,193,245,154,0,77,78,77,0,77,78,77,0,77,78,77,0
Peer,,,,,153,231,75,0,75,78,75,0,75,78,75,0,76,77,75,0
Caller,20000,100,25,,193,248,140,0,77,78,77,0,77,80,77,0,77,78,77,0
Peer,,,,,153,231,75,0,75,77,75,0,75,79,75,0,75,77,75,0
Caller,100000,1000,25,,88,253,77,0,77,78,77,0,77,78,77,0,77,78,77,0
Peer,,,,,86,231,75,0,75,77,75,0,75,78,75,0,75,77,75,0
Caller,200000,2000,25,,83,179,77,0,77,78,77,0,77,90,77,0,77,149,77,0
Peer,,,,,81,132,75,0,75,77,75,0,75,78,75,0,75,77,75,0
Caller,300000,3000,25,,81,234,77,0,78,254,77,0,78,393,77,0,78,391,77,0
Peer,,,,,79,194,75,0,77,429,75,0,75,78,75,0,75,77,75,0
Caller,300000,5000,25,,80,163,77,0,81,302,77,0,87,454,77,0,87,426,77,0
Peer,,,,,78,238,75,0,80,367,75,0,75,77,75,0,75,77,75,0
Caller,100000,10000,25,,81,251,77,0,77,78,77,81605,77,78,77,81752,77,78,77,81748
Peer,,,,,82,327,75,0,133,222,75,28258,75,79,75,856,77,79,73,821
