Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 07:22:19 2021,26965882,19,1000,49506,47491,49872,48680,41679,49944,0,0,346384,343286,346920,190571,3 ~ 1004,0.000000 ~ 0.780000,0.000000 ~ 0.195000,136,7 M 389 K 369 B,2 M 228 K 25 B
Fri Apr  9 07:23:19 2021,26965883,19,1000,49844,49812,49874,49847,49785,49928,0,0,346828,346754,346891,19088,1004,0.720000 ~ 1.620000,0.180000 ~ 0.405000,136 ~ 137,7 M 371 K 720 B,2 M 222 K 615 B
Fri Apr  9 07:24:19 2021,26965884,19,1000,49845,49825,49867,49843,49775,49907,0,0,346760,346681,346837,49897,1004,1.150000 ~ 1.630000,0.287500 ~ 0.407500,136,7 M 369 K 567 B,2 M 222 K 145 B
Fri Apr  9 07:25:19 2021,26965885,19,1000,49844,49821,49865,49844,49780,49886,0,0,346754,346687,346859,49726,1004,1.150000 ~ 2.250000,0.287500 ~ 0.562500,136 ~ 137,7 M 367 K 545 B,2 M 221 K 241 B
Fri Apr  9 07:26:19 2021,26965886,19,1000,49843,49822,49865,49842,49788,49897,0,0,346759,346702,346809,49866,1004,1.340000 ~ 2.130000,0.335000 ~ 0.532500,136,7 M 362 K 667 B,2 M 221 K 142 B
Fri Apr  9 07:27:13 2021,26965887,13,1000,49846,49813,49879,49848,49800,49901,0,0,346731,346655,346818,49862,1004 ~ 2004,1.520000 ~ 2.030000,0.380000 ~ 0.507500,136 ~ 137,14 M 750 K 878 B,4 M 448 K 295 B
Fri Apr  9 07:27:19 2021,26965887,19,2000,99288,97284,99757,98334,91512,99773,0,0,346289,341251,346765,49862,1004 ~ 2004,1.520000 ~ 2.030000,0.380000 ~ 0.507500,136 ~ 137,14 M 750 K 878 B,4 M 448 K 295 B
Fri Apr  9 07:28:19 2021,26965888,19,2000,99695,99584,99796,99693,99613,99811,0,0,346681,346564,346783,65442,2004,1.650000 ~ 2.000000,0.412500 ~ 0.500000,136 ~ 137,14 M 741 K 49 B,4 M 445 K 920 B
Fri Apr  9 07:29:19 2021,26965889,19,2000,99701,99607,99795,99701,99618,99773,0,0,346702,346622,346836,99688,2004,1.850000 ~ 3.040000,0.462500 ~ 0.760000,136,14 M 740 K 750 B,4 M 446 K 48 B
Fri Apr  9 07:30:19 2021,26965890,19,2000,99701,99632,99771,99700,99546,99870,0,0,346706,346587,346901,99692,2004,2.690000 ~ 3.470000,0.672500 ~ 0.867500,136 ~ 137,14 M 739 K 448 B,4 M 444 K 743 B
Fri Apr  9 07:31:19 2021,26965891,19,2000,99699,99610,99785,99699,99615,99765,0,0,346730,346649,346835,99680,2004,2.030000 ~ 2.830000,0.507500 ~ 0.707500,136 ~ 137,14 M 748 K 15 B,4 M 447 K 448 B
Fri Apr  9 07:32:14 2021,26965892,14,2000,99700,99639,99769,99701,99632,99783,0,0,346743,346649,346873,99679,2004 ~ 3004,2.270000 ~ 3.200000,0.567500 ~ 0.800000,136 ~ 137,22 M 82 K 856 B,6 M 666 K 366 B
Fri Apr  9 07:32:18 2021,26965892,18,3000,148904,147041,149598,147413,141157,149537,15,510,346252,339703,346883,99679,2004 ~ 3004,2.270000 ~ 3.200000,0.567500 ~ 0.800000,136 ~ 137,22 M 82 K 856 B,6 M 666 K 366 B
Fri Apr  9 07:32:19 2021,26965892,19,2000,99759,99759,99759,99621,99621,99621,0,0,346762,346743,346781,99679,2004 ~ 3004,2.270000 ~ 3.200000,0.567500 ~ 0.800000,136 ~ 137,22 M 82 K 856 B,6 M 666 K 366 B
Fri Apr  9 07:33:04 2021,26965893,4,3000,149526,149441,149645,149549,149438,149646,0,0,346755,346678,346910,112224,3004,3.100000 ~ 4.570000,0.775000 ~ 1.142500,136 ~ 137,22 M 69 K 992 B,6 M 662 K 330 B
Fri Apr  9 07:33:05 2021,26965893,5,2000,99715,99715,99715,99656,99656,99656,0,0,346741,346691,346791,112224,3004,3.100000 ~ 4.570000,0.775000 ~ 1.142500,136 ~ 137,22 M 69 K 992 B,6 M 662 K 330 B
