Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr 15 07:23:02 2021,26974523,2,20000,799,799,799,799,799,799,0,0,294,254,334,272,3 ~ 70004,0.110000 ~ 0.440000,0.013750 ~ 0.055000,0,1 M 392 K 788 B,731 K 414 B
Thu Apr 15 07:23:03 2021,26974523,3,30000,1198,1198,1198,1198,1198,1198,0,0,306,255,334,272,3 ~ 70004,0.110000 ~ 0.440000,0.013750 ~ 0.055000,0,1 M 392 K 788 B,731 K 414 B
Thu Apr 15 07:23:04 2021,26974523,4,40000,1597,1597,1597,1597,1597,1597,0,0,293,241,340,272,3 ~ 70004,0.110000 ~ 0.440000,0.013750 ~ 0.055000,0,1 M 392 K 788 B,731 K 414 B
Thu Apr 15 07:23:05 2021,26974523,5,60000,2397,2397,2397,2397,2397,2397,0,0,291,237,342,272,3 ~ 70004,0.110000 ~ 0.440000,0.013750 ~ 0.055000,0,1 M 392 K 788 B,731 K 414 B
Thu Apr 15 07:24:00 2021,26974524,0,70000,2795,2795,2795,2795,2795,2795,0,0,272,147,342,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
Thu Apr 15 07:24:01 2021,26974524,1,80000,3196,3196,3196,3196,3196,3196,0,0,283,151,346,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
Thu Apr 15 07:24:02 2021,26974524,2,100000,3993,3993,3993,3993,3993,3993,0,0,288,159,344,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
Thu Apr 15 07:24:03 2021,26974524,3,110000,4394,4394,4394,4394,4394,4394,0,0,287,164,349,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
Thu Apr 15 07:24:04 2021,26974524,4,130000,5193,5193,5193,5193,5193,5193,0,0,281,141,353,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
Thu Apr 15 07:24:05 2021,26974524,5,140000,5591,5591,5591,5591,5591,5591,0,0,281,137,356,1279,70004 ~ 150004,0.130000 ~ 0.310000,0.016250 ~ 0.038750,0,2 M 231 K 546 B,1 M 27 K 572 B
