Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 02:12:19 2021,26964132,19,100,48150,48108,48157,48150,48115,48171,0,0,264,250,329,108529,3 ~ 104,0.000000 ~ 2.080000,0.000000 ~ 0.520000,0,9 M 707 K 900 B,4 M 749 K 446 B
Thu Apr  8 02:13:19 2021,26964133,19,100,48151,48148,48155,48151,48146,48155,0,0,316,271,374,37872,104,1.860000 ~ 2.420000,0.465000 ~ 0.605000,0,9 M 712 K 259 B,4 M 749 K 154 B
Thu Apr  8 02:14:19 2021,26964134,19,100,48159,48148,48166,48159,48147,48166,0,0,332,326,359,48192,104,2.020000 ~ 2.570000,0.505000 ~ 0.642500,0,9 M 710 K 782 B,4 M 749 K 825 B
Thu Apr  8 02:15:19 2021,26964135,19,100,48159,48154,48163,48159,48154,48164,0,0,334,328,352,48194,104,2.440000 ~ 2.860000,0.610000 ~ 0.715000,0,9 M 709 K 434 B,4 M 749 K 875 B
Thu Apr  8 02:16:19 2021,26964136,19,100,48159,48151,48165,48159,48153,48165,0,0,371,351,403,48193,104,1.780000 ~ 2.520000,0.445000 ~ 0.630000,0,9 M 710 K 676 B,4 M 749 K 722 B
Thu Apr  8 02:17:05 2021,26964137,5,100,48157,48155,48159,48157,48153,48159,0,0,371,369,372,48048,104 ~ 204,1.740000 ~ 3.880000,0.435000 ~ 0.970000,0,19 M 389 KB,9 M 471 K 522 B
Thu Apr  8 02:17:19 2021,26964137,19,200,96275,96203,96294,96276,96207,96295,0,0,383,301,458,48048,104 ~ 204,1.740000 ~ 3.880000,0.435000 ~ 0.970000,0,19 M 389 KB,9 M 471 K 522 B
Thu Apr  8 02:18:19 2021,26964138,19,200,96287,96281,96294,96287,96279,96294,0,0,408,328,522,82887,204,3.350000 ~ 4.820000,0.837500 ~ 1.205000,0,19 M 388 K 285 B,9 M 471 K 212 B
Thu Apr  8 02:19:19 2021,26964139,19,200,96288,96279,96297,96288,96280,96298,0,0,430,368,490,96251,204,4.760000 ~ 5.160000,1.190000 ~ 1.290000,0,19 M 388 K 285 B,9 M 471 K 110 B
Thu Apr  8 02:20:19 2021,26964140,19,200,96273,96215,96296,96273,96214,96296,0,0,460,398,535,96257,204,4.410000 ~ 5.490000,1.102500 ~ 1.372500,0,19 M 389 K 844 B,9 M 471 K 780 B
Thu Apr  8 02:21:19 2021,26964141,19,200,96270,96223,96291,96270,96229,96291,0,0,468,412,514,96247,204,4.410000 ~ 5.710000,1.102500 ~ 1.427500,0,19 M 387 K 887 B,9 M 471 K 470 B
Thu Apr  8 02:22:07 2021,26964142,7,200,96259,96202,96291,96252,96151,96291,0,0,565,430,1524,96242,204 ~ 304,5.380000 ~ 6.570000,1.345000 ~ 1.642500,0,29 M 86 K 303 B,14 M 205 K 297 B
Thu Apr  8 02:22:18 2021,26964142,18,300,144515,144470,144530,144512,144436,144528,0,0,2302,2173,2328,96242,204 ~ 304,5.380000 ~ 6.570000,1.345000 ~ 1.642500,0,29 M 86 K 303 B,14 M 205 K 297 B
Thu Apr  8 02:22:19 2021,26964142,19,200,96331,96331,96331,96330,96330,96330,0,0,2301,2290,2313,96242,204 ~ 304,5.380000 ~ 6.570000,1.345000 ~ 1.642500,0,29 M 86 K 303 B,14 M 205 K 297 B
Thu Apr  8 02:23:19 2021,26964143,19,300,144495,144436,144540,144495,144434,144540,0,0,2309,2288,2345,127751,304,6.110000 ~ 6.720000,1.527500 ~ 1.680000,0,29 M 88 K 548 B,14 M 204 K 441 B
Thu Apr  8 02:24:00 2021,26964144,0,200,96326,96326,96326,96333,96333,96333,0,0,2308,2293,2323,144301,304,6.340000 ~ 6.820000,1.585000 ~ 1.705000,0,29 M 89 K 229 B,14 M 203 K 1009 B
Thu Apr  8 02:24:13 2021,26964144,13,300,144499,144429,144535,144499,144427,144536,0,0,2304,2290,2332,144301,304,6.340000 ~ 6.820000,1.585000 ~ 1.705000,0,29 M 89 K 229 B,14 M 203 K 1009 B
Thu Apr  8 02:24:14 2021,26964144,14,200,96306,96306,96306,96306,96306,96306,0,0,2297,2296,2298,144301,304,6.340000 ~ 6.820000,1.585000 ~ 1.705000,0,29 M 89 K 229 B,14 M 203 K 1009 B
Thu Apr  8 02:24:19 2021,26964144,19,300,144521,144501,144540,144520,144503,144539,0,0,2303,2289,2322,144301,304,6.340000 ~ 6.820000,1.585000 ~ 1.705000,0,29 M 89 K 229 B,14 M 203 K 1009 B
Thu Apr  8 02:25:04 2021,26964145,4,300,144463,144451,144498,144463,144450,144501,0,0,2310,2295,2324,144754,304,6.670000 ~ 7.290000,1.667500 ~ 1.822500,0,29 M 88 K 390 B,14 M 205 K 755 B
Thu Apr  8 02:25:05 2021,26964145,5,200,96310,96310,96310,96310,96310,96310,0,0,2304,2301,2306,144754,304,6.670000 ~ 7.290000,1.667500 ~ 1.822500,0,29 M 88 K 390 B,14 M 205 K 755 B
Thu Apr  8 02:25:17 2021,26964145,17,300,144517,144468,144538,144516,144467,144534,0,0,2306,2289,2335,144754,304,6.670000 ~ 7.290000,1.667500 ~ 1.822500,0,29 M 88 K 390 B,14 M 205 K 755 B
Thu Apr  8 02:25:18 2021,26964145,18,200,96315,96315,96315,96304,96304,96304,0,0,2309,2305,2314,144754,304,6.670000 ~ 7.290000,1.667500 ~ 1.822500,0,29 M 88 K 390 B,14 M 205 K 755 B
Thu Apr  8 02:25:19 2021,26964145,19,300,144461,144461,144461,144476,144476,144476,0,0,2309,2300,2317,144754,304,6.670000 ~ 7.290000,1.667500 ~ 1.822500,0,29 M 88 K 390 B,14 M 205 K 755 B
Thu Apr  8 02:26:04 2021,26964146,4,300,144480,144446,144525,144479,144438,144525,0,0,2310,2297,2326,144292,304,6.790000 ~ 7.750000,1.697500 ~ 1.937500,0,29 M 88 K 438 B,14 M 203 K 350 B
Thu Apr  8 02:26:05 2021,26964146,5,200,96260,96260,96260,96257,96257,96257,0,0,2309,2304,2315,144292,304,6.790000 ~ 7.750000,1.697500 ~ 1.937500,0,29 M 88 K 438 B,14 M 203 K 350 B
Thu Apr  8 02:26:09 2021,26964146,9,300,144507,144480,144531,144510,144484,144542,0,0,2303,2293,2312,144292,304,6.790000 ~ 7.750000,1.697500 ~ 1.937500,0,29 M 88 K 438 B,14 M 203 K 350 B
Thu Apr  8 02:26:10 2021,26964146,10,200,96274,96274,96274,96271,96271,96271,0,0,2305,2297,2313,144292,304,6.790000 ~ 7.750000,1.697500 ~ 1.937500,0,29 M 88 K 438 B,14 M 203 K 350 B
