Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 10:35:19 2021,26964635,19,100,48383,47603,48457,48243,45355,48455,0,79,139035,138907,140928,43874,101,101,0.000000 ~ 1.300000,0.000000 ~ 0.325000,0 ~ 138,15 M 730 K 64 B,5 M 877 K 399 B
Thu Apr  8 10:36:19 2021,26964636,19,100,48435,48420,48446,48435,48417,48446,0,0,138904,138886,138923,40183,101,101,1.130000 ~ 3.400000,0.282500 ~ 0.850000,138,10 M 571 K 661 B,4 M 761 K 660 B
Thu Apr  8 10:37:19 2021,26964637,19,100,48433,48419,48444,48434,48421,48445,0,0,138859,138753,138940,48493,101,101,3.010000 ~ 3.680000,0.752500 ~ 0.920000,138,10 M 566 K 597 B,4 M 761 K 1000 B
Thu Apr  8 10:38:19 2021,26964638,19,100,48448,48426,48469,48449,48429,48469,0,0,138772,138707,138847,48343,101,101,2.780000 ~ 3.880000,0.695000 ~ 0.970000,138,10 M 555 K 328 B,4 M 758 K 24 B
Thu Apr  8 10:39:19 2021,26964639,19,100,48442,48374,48460,48441,48382,48460,0,0,138832,138806,138850,48495,101,101,2.890000 ~ 3.570000,0.722500 ~ 0.892500,137 ~ 138,10 M 553 K 85 B,4 M 754 K 241 B
Thu Apr  8 10:40:04 2021,26964640,4,100,48449,48440,48458,48449,48438,48457,0,1,138810,138804,138814,48485,201,201,2.780000 ~ 4.490000,0.695000 ~ 1.122500,138,26 M 520 K 627 B,10 M 117 K 208 B
Thu Apr  8 10:40:19 2021,26964640,19,200,96831,96191,96892,96681,93928,96910,0,80,139420,138919,143790,48485,201,201,2.780000 ~ 4.490000,0.695000 ~ 1.122500,138,26 M 520 K 627 B,10 M 117 K 208 B
Thu Apr  8 10:41:19 2021,26964641,19,200,96877,96824,96896,96876,96811,96921,0,0,139122,138918,139531,85308,201,201,4.490000 ~ 5.980000,1.122500 ~ 1.495000,138,21 M 144 K 212 B,9 M 525 K 693 B
Thu Apr  8 10:42:19 2021,26964642,19,200,96876,96837,96893,96876,96842,96896,0,0,139134,138995,139437,96714,201,201,5.900000 ~ 7.010000,1.475000 ~ 1.752500,137 ~ 138,21 M 145 K 864 B,9 M 526 K 193 B
Thu Apr  8 10:43:19 2021,26964643,19,200,96878,96851,96892,96878,96844,96901,0,0,139120,139048,139289,97042,201,201,6.950000 ~ 7.310000,1.737500 ~ 1.827500,138,21 M 154 K 114 B,9 M 527 K 246 B
Thu Apr  8 10:44:19 2021,26964644,19,200,96895,96851,96918,96894,96856,96923,0,0,139145,139045,139507,96964,201,201,6.700000 ~ 7.390000,1.675000 ~ 1.847500,137 ~ 138,21 M 153 K 194 B,9 M 526 K 742 B
Thu Apr  8 10:45:06 2021,26964645,6,200,96895,96873,96907,95279,85539,96913,0,0,149503,139036,278426,96773,301,301,6.790000 ~ 7.420000,1.697500 ~ 1.855000,137 ~ 142,71 M 983 K 828 B,18 M 114 K 254 B
Thu Apr  8 10:45:19 2021,26964645,19,300,144911,144129,145334,86700,54709,122638,1,161,8201926,560699,15868092,96773,301,301,6.790000 ~ 7.420000,1.697500 ~ 1.855000,137 ~ 142,71 M 983 K 828 B,18 M 114 K 254 B
