Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Apr 19 03:26:02 2021,26980046,2,1000,39,39,40,39,39,40,0,0,406,202,597,3,2001,2001,0.010000 ~ 0.030000,0.001250 ~ 0.003750,0,39 K 868 B,16 K 634 B
Mon Apr 19 03:26:05 2021,26980046,5,2000,79,79,80,79,79,80,0,0,684,213,1368,3,2001,2001,0.010000 ~ 0.030000,0.001250 ~ 0.003750,0,39 K 868 B,16 K 634 B
Mon Apr 19 03:27:02 2021,26980047,2,3000,119,119,120,119,119,120,0,0,709,398,1283,67,4001,4001,0.000000 ~ 0.010000,0.000000 ~ 0.001250,0,59 K 255 B,27 K 488 B
Mon Apr 19 03:27:05 2021,26980047,5,4000,159,159,160,159,159,160,0,0,945,335,2771,67,4001,4001,0.000000 ~ 0.010000,0.000000 ~ 0.001250,0,59 K 255 B,27 K 488 B
Mon Apr 19 03:28:02 2021,26980048,2,5000,196,194,198,196,194,198,0,0,822,316,2009,146,5999,5999,0.000000,0.000000,0,83 K 875 B,37 K 899 B
Mon Apr 19 03:28:05 2021,26980048,5,6000,233,231,236,233,231,236,0,1,1023,446,3921,146,5999,5999,0.000000,0.000000,0,83 K 875 B,37 K 899 B
Mon Apr 19 03:29:03 2021,26980049,3,7000,277,276,279,277,275,279,0,3,1282,368,4682,221,7829,7828,0.000000,0.000000,0,95 K 832 B,44 K 1011 B
Mon Apr 19 03:29:05 2021,26980049,5,8000,317,316,318,317,316,318,0,0,1829,505,4240,221,7829,7828,0.000000,0.000000,0,95 K 832 B,44 K 1011 B
Mon Apr 19 03:30:00 2021,26980050,0,8000,318,318,318,318,318,318,0,0,989,378,2310,297,9814,9814,0.000000 ~ 0.150000,0.000000 ~ 0.018750,0,110 K 537 B,56 K 784 B
Mon Apr 19 03:30:03 2021,26980050,3,9000,357,356,358,357,356,358,0,0,1359,447,7875,297,9814,9814,0.000000 ~ 0.150000,0.000000 ~ 0.018750,0,110 K 537 B,56 K 784 B
Mon Apr 19 03:30:05 2021,26980050,5,10000,397,396,397,397,396,397,0,0,1609,630,8123,297,9814,9814,0.000000 ~ 0.150000,0.000000 ~ 0.018750,0,110 K 537 B,56 K 784 B
Mon Apr 19 03:31:00 2021,26980051,0,10000,398,398,398,398,398,398,0,0,1305,565,6128,377,11654,11654,0.060000 ~ 0.150000,0.007500 ~ 0.018750,0,143 K 670 B,67 K 65 B
Mon Apr 19 03:31:03 2021,26980051,3,11000,429,425,432,429,425,432,0,0,5624,748,12774,377,11654,11654,0.060000 ~ 0.150000,0.007500 ~ 0.018750,0,143 K 670 B,67 K 65 B
