Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Apr 19 12:06:01 2021,26980566,1,2000,1886,1886,1886,1886,1886,1886,0,0,540,495,587,0,6582,6582,0.000000 ~ 0.510000,0.000000 ~ 0.127500,0 ~ 10,1 M 343 K 175 B,747 K 276 B
Mon Apr 19 12:06:02 2021,26980566,2,3000,2742,2742,2742,2742,2742,2742,0,0,878,738,997,0,6582,6582,0.000000 ~ 0.510000,0.000000 ~ 0.127500,0 ~ 10,1 M 343 K 175 B,747 K 276 B
Mon Apr 19 12:06:03 2021,26980566,3,5000,4520,4520,4520,4520,4520,4520,0,0,999,699,1413,0,6582,6582,0.000000 ~ 0.510000,0.000000 ~ 0.127500,0 ~ 10,1 M 343 K 175 B,747 K 276 B
Mon Apr 19 12:06:04 2021,26980566,4,7000,5109,5109,5109,5109,5109,5109,0,0,3440,1366,6943,0,6582,6582,0.000000 ~ 0.510000,0.000000 ~ 0.127500,0 ~ 10,1 M 343 K 175 B,747 K 276 B
Mon Apr 19 12:06:05 2021,26980566,5,8000,3444,3444,3444,3444,3444,3444,0,0,12544,6819,18103,0,6582,6582,0.000000 ~ 0.510000,0.000000 ~ 0.127500,0 ~ 10,1 M 343 K 175 B,747 K 276 B
Mon Apr 19 12:07:00 2021,26980567,0,10000,2593,2593,2593,2593,2593,2593,0,1,28014,22838,33204,3160,14152,14152,0.510000 ~ 1.760000,0.127500 ~ 0.440000,6 ~ 10,1 M 381 K 669 B,773 K 913 B
Mon Apr 19 12:07:01 2021,26980567,1,11000,4587,4587,4587,4587,4587,4587,0,0,13771,10664,20746,3160,14152,14152,0.510000 ~ 1.760000,0.127500 ~ 0.440000,6 ~ 10,1 M 381 K 669 B,773 K 913 B
Mon Apr 19 12:07:02 2021,26980567,2,12000,4967,4967,4967,4967,4967,4967,0,0,13792,10805,20499,3160,14152,14152,0.510000 ~ 1.760000,0.127500 ~ 0.440000,6 ~ 10,1 M 381 K 669 B,773 K 913 B
Mon Apr 19 12:07:03 2021,26980567,3,13000,4364,4364,4364,4364,4364,4364,0,0,19199,15244,27148,3160,14152,14152,0.510000 ~ 1.760000,0.127500 ~ 0.440000,6 ~ 10,1 M 381 K 669 B,773 K 913 B
Mon Apr 19 12:07:04 2021,26980567,4,14000,3811,3811,3811,3811,3811,3811,0,2,25971,19597,32787,3160,14152,14152,0.510000 ~ 1.760000,0.127500 ~ 0.440000,6 ~ 10,1 M 381 K 669 B,773 K 913 B
