Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Wed Apr  7 08:32:19 2021,26963072,19,10,17676,17669,17686,17676,17433,17910,0,0,832,193,8318,6199,11,11,0.000000 ~ 0.290000,0.000000 ~ 0.072500,0,5 M 61 K 816 B,2 M 377 K 855 B
Wed Apr  7 08:33:19 2021,26963073,19,10,17673,17669,17678,17673,17332,18012,0,0,1012,197,16010,11927,11,11,0.160000 ~ 0.550000,0.040000 ~ 0.137500,0,4 M 950 K 43 B,2 M 352 K 118 B
Wed Apr  7 08:34:19 2021,26963074,19,10,17676,17670,17682,17676,17669,17680,0,0,199,195,213,17628,11,11,0.500000 ~ 0.910000,0.125000 ~ 0.227500,0,4 M 769 K 485 B,2 M 102 K 853 B
Wed Apr  7 08:35:19 2021,26963075,19,10,17677,17662,17688,17677,17663,17689,0,0,199,195,212,17687,11,11,0.710000 ~ 1.420000,0.177500 ~ 0.355000,0,4 M 769 K 646 B,2 M 113 K 188 B
Wed Apr  7 08:36:19 2021,26963076,19,10,17676,17669,17682,17676,17670,17683,0,0,196,194,197,17693,11,11,0.940000 ~ 1.360000,0.235000 ~ 0.340000,0,4 M 772 K 618 B,2 M 110 K 514 B
Wed Apr  7 08:37:07 2021,26963077,7,10,17672,17665,17677,17672,17666,17677,0,0,196,194,198,17689,21,21,0.870000 ~ 1.350000,0.217500 ~ 0.337500,0,9 M 502 K 921 B,4 M 221 K 444 B
Wed Apr  7 08:37:19 2021,26963077,19,20,35309,35302,35316,35309,35300,35317,0,0,206,201,211,17689,21,21,0.870000 ~ 1.350000,0.217500 ~ 0.337500,0,9 M 502 K 921 B,4 M 221 K 444 B
Wed Apr  7 08:38:19 2021,26963078,19,20,35310,35296,35325,35310,35296,35325,0,0,206,202,211,28300,21,21,1.150000 ~ 2.020000,0.287500 ~ 0.505000,0,9 M 510 K 996 B,4 M 230 K 81 B
Wed Apr  7 08:39:19 2021,26963079,19,20,35307,35299,35317,35307,35299,35318,0,0,207,202,210,35280,21,21,2.260000 ~ 3.420000,0.565000 ~ 0.855000,0,9 M 514 K 918 B,4 M 235 K 811 B
Wed Apr  7 08:40:19 2021,26963080,19,20,35305,35295,35317,35305,35131,35482,0,0,260,205,1769,35384,21,21,3.000000 ~ 3.610000,0.750000 ~ 0.902500,0,9 M 836 K 867 B,4 M 685 K 374 B
Wed Apr  7 08:41:19 2021,26963081,19,20,35304,35289,35318,35304,35290,35319,0,0,208,204,211,35284,21,21,2.210000 ~ 3.220000,0.552500 ~ 0.805000,0,9 M 532 K 948 B,4 M 243 K 232 B
Wed Apr  7 08:42:09 2021,26963082,9,20,35299,35281,35313,35299,35283,35312,0,0,210,206,214,35287,31,31,1.790000 ~ 2.400000,0.447500 ~ 0.600000,0,14 M 285 K 8 B,6 M 366 K 706 B
Wed Apr  7 08:42:19 2021,26963082,19,30,52880,52871,52886,52879,52870,52885,0,0,220,217,227,35287,31,31,1.790000 ~ 2.400000,0.447500 ~ 0.600000,0,14 M 285 K 8 B,6 M 366 K 706 B
Wed Apr  7 08:43:19 2021,26963083,19,30,52881,52869,52900,52881,52868,52900,0,0,221,215,243,44757,31,31,2.110000 ~ 3.310000,0.527500 ~ 0.827500,0,14 M 281 K 668 B,6 M 488 K 448 B
Wed Apr  7 08:44:19 2021,26963084,19,30,52882,52870,52890,52882,52870,52890,0,0,219,216,228,52791,31,31,3.290000 ~ 4.460000,0.822500 ~ 1.115000,0,14 M 279 K 809 B,6 M 378 K 339 B
Wed Apr  7 08:45:19 2021,26963085,19,30,52881,52865,52895,52881,52864,52897,0,0,223,215,298,52957,31,31,3.800000 ~ 4.500000,0.950000 ~ 1.125000,0,14 M 283 K 1009 B,6 M 387 K 636 B
Wed Apr  7 08:46:19 2021,26963086,19,30,52874,52860,52891,52874,52859,52890,0,0,223,216,272,52794,31,31,3.220000 ~ 4.080000,0.805000 ~ 1.020000,0,14 M 273 K 155 B,6 M 436 K 911 B
Wed Apr  7 08:47:10 2021,26963087,10,30,52886,52876,52894,52886,52877,52896,0,0,221,216,243,52950,41,41,2.920000 ~ 3.890000,0.730000 ~ 0.972500,0,19 M 356 K 1022 B,8 M 799 K 494 B
Wed Apr  7 08:47:19 2021,26963087,19,40,70391,70385,70406,70391,69941,70848,0,0,788,231,19442,52950,41,41,2.920000 ~ 3.890000,0.730000 ~ 0.972500,0,19 M 356 K 1022 B,8 M 799 K 494 B
Wed Apr  7 08:48:19 2021,26963088,19,40,70383,70368,70400,70383,70368,70399,0,0,448,234,16963,60995,41,41,4.100000 ~ 4.590000,1.025000 ~ 1.147500,0,19 M 433 K 52 B,8 M 975 K 688 B
Wed Apr  7 08:49:19 2021,26963089,19,40,70376,70357,70388,70376,70118,70606,0,0,497,235,10415,70339,41,41,4.430000 ~ 5.040000,1.107500 ~ 1.260000,0,21 M 152 K 541 B,8 M 939 K 364 B
Wed Apr  7 08:50:19 2021,26963090,19,40,70377,70364,70395,70377,69884,70871,0,0,988,234,58198,70552,41,41,4.050000 ~ 5.010000,1.012500 ~ 1.252500,0,20 M 87 K 1015 B,8 M 792 K 335 B
Wed Apr  7 08:51:19 2021,26963091,19,40,70371,70357,70381,70371,69362,71382,0,0,1118,235,56224,70342,41,41,4.370000 ~ 4.830000,1.092500 ~ 1.207500,0,20 M 13 K 346 B,8 M 818 K 851 B
Wed Apr  7 08:52:12 2021,26963092,12,40,70371,70351,70392,70371,70234,70495,0,0,816,236,28684,70331,51,51,4.550000 ~ 4.970000,1.137500 ~ 1.242500,0,23 M 715 K 475 B,10 M 612 K 721 B
Wed Apr  7 08:52:19 2021,26963092,19,50,87888,87876,87896,87888,87875,87897,0,0,283,276,291,70331,51,51,4.550000 ~ 4.970000,1.137500 ~ 1.242500,0,23 M 715 K 475 B,10 M 612 K 721 B
Wed Apr  7 08:53:19 2021,26963093,19,50,87888,87875,87902,87888,87180,88577,0,0,768,275,33695,77311,51,51,4.740000 ~ 5.420000,1.185000 ~ 1.355000,0,24 M 571 K 34 B,11 M 116 K 471 B
Wed Apr  7 08:54:19 2021,26963094,19,50,87885,87858,87911,87885,87858,87910,0,0,398,275,11822,87865,51,51,4.810000 ~ 5.420000,1.202500 ~ 1.355000,0,24 M 677 K 195 B,10 M 641 K 401 B
Wed Apr  7 08:55:19 2021,26963095,19,50,87893,87868,87912,87893,87868,87909,0,0,282,274,292,87863,51,51,5.000000 ~ 5.550000,1.250000 ~ 1.387500,0,23 M 703 K 492 B,10 M 614 K 648 B
Wed Apr  7 08:56:19 2021,26963096,19,50,87894,87877,87912,87894,87877,87912,0,0,450,272,16106,87869,51,51,4.890000 ~ 5.440000,1.222500 ~ 1.360000,0,24 M 22 K 228 B,10 M 775 K 587 B
Wed Apr  7 08:57:13 2021,26963097,13,50,87897,87878,87910,87897,87687,88111,0,0,1074,276,26427,87880,61,61,5.060000 ~ 5.830000,1.265000 ~ 1.457500,0,28 M 446 K 75 B,12 M 773 K 660 B
Wed Apr  7 08:57:19 2021,26963097,19,60,105483,105474,105494,105483,105472,105492,0,0,417,367,463,87880,61,61,5.060000 ~ 5.830000,1.265000 ~ 1.457500,0,28 M 446 K 75 B,12 M 773 K 660 B
Wed Apr  7 08:58:19 2021,26963098,19,60,105484,105454,105502,105484,105453,105502,0,0,420,403,438,93649,61,61,5.790000 ~ 7.040000,1.447500 ~ 1.760000,0,28 M 452 K 966 B,12 M 734 K 700 B
Wed Apr  7 08:59:19 2021,26963099,19,60,105488,105469,105506,105488,105468,105510,0,0,418,394,722,105480,61,61,6.420000 ~ 7.230000,1.605000 ~ 1.807500,0,28 M 488 K 978 B,12 M 862 K 416 B
Wed Apr  7 09:00:19 2021,26963100,19,60,105475,105465,105495,105475,105459,105493,0,0,606,408,19438,105491,61,61,6.420000 ~ 7.080000,1.605000 ~ 1.770000,0,28 M 952 K 740 B,12 M 914 K 410 B
Wed Apr  7 09:01:19 2021,26963101,19,60,105474,105433,105498,105474,105432,105497,0,0,429,407,457,105484,61,61,6.640000 ~ 7.070000,1.660000 ~ 1.767500,0,28 M 468 K 206 B,12 M 741 K 724 B
Wed Apr  7 09:02:14 2021,26963102,14,60,105476,105461,105497,105476,105463,105498,0,0,443,416,558,105473,71,71,6.460000 ~ 7.080000,1.615000 ~ 1.770000,0,33 M 259 K 94 B,14 M 925 K 174 B
Wed Apr  7 09:02:19 2021,26963102,19,70,122939,122912,122986,122934,122909,122961,0,0,1185,642,2813,105473,71,71,6.460000 ~ 7.080000,1.615000 ~ 1.770000,0,33 M 259 K 94 B,14 M 925 K 174 B
Wed Apr  7 09:03:19 2021,26963103,19,70,122928,122871,122961,122927,122890,122969,0,0,1147,1065,1321,110051,71,71,6.460000 ~ 7.500000,1.615000 ~ 1.875000,0,33 M 203 K 760 B,14 M 729 K 318 B
Wed Apr  7 09:04:19 2021,26963104,19,70,122927,122889,122971,122928,122864,122959,0,0,1174,1066,3535,123009,71,71,7.390000 ~ 7.650000,1.847500 ~ 1.912500,0,33 M 640 K 442 B,14 M 746 K 114 B
Wed Apr  7 09:05:19 2021,26963105,19,70,122928,122891,122965,122929,122896,122958,0,0,1143,1050,1266,123012,71,71,6.970000 ~ 7.390000,1.742500 ~ 1.847500,0,33 M 344 K 691 B,14 M 732 K 608 B
Wed Apr  7 09:06:19 2021,26963106,19,70,122934,122883,122977,122932,122841,122995,0,0,1688,1043,44869,123019,71,71,6.880000 ~ 7.620000,1.720000 ~ 1.905000,0,33 M 757 K 558 B,15 M 422 K 60 B
Wed Apr  7 09:07:16 2021,26963107,16,70,122938,122861,122963,122874,121755,123189,0,0,2123,1066,52902,122641,81,81,6.450000 ~ 7.050000,1.612500 ~ 1.762500,0,37 M 734 K 499 B,16 M 939 K 703 B
Wed Apr  7 09:07:19 2021,26963107,19,80,140027,140010,140042,140069,139773,140629,0,0,24623,15114,36375,122641,81,81,6.450000 ~ 7.050000,1.612500 ~ 1.762500,0,37 M 734 K 499 B,16 M 939 K 703 B
Wed Apr  7 09:08:19 2021,26963108,19,80,140017,139963,140050,139811,135549,142486,0,0,69348,8988,174136,126224,81,81,6.710000 ~ 7.200000,1.677500 ~ 1.800000,0,37 M 743 K 108 B,17 M 435 K 796 B
Wed Apr  7 09:09:19 2021,26963109,19,80,139958,139890,140016,138578,135195,141798,0,0,371099,109350,707854,140072,81,81,6.880000 ~ 7.390000,1.720000 ~ 1.847500,0,38 M 260 K 272 B,17 M 303 K 267 B
Wed Apr  7 09:10:19 2021,26963110,19,80,139355,138665,139971,138358,120697,148705,0,0,814376,415231,1426389,138388,81,81,5.680000 ~ 7.050000,1.420000 ~ 1.762500,0,48 M 29 K 441 B,18 M 144 K 213 B
